domain,dem_prop,rep_prop,bias_score
archives.gov,0.0001941899969676,0.0,-0.0658
argonautnews.com,1.6286138812476056e-07,0.0,
argus-press.com,0.0001032393144903,0.0002026385223096,
argusleader.com,1.5849374180686924e-05,3.518243085777892e-05,0.4518
arizona.edu,0.0,9.302599380692472e-09,
arkansas.gov,1.0363906517030217e-07,0.0,
arkansasbusiness.com,0.0,2.43355999798915e-05,0.1937
arkansasonline.com,8.898154023907371e-06,0.000644232914911,0.0116
arklatexhomepage.com,3.424530824841556e-05,0.0001470740962087,0.2965
arktimes.com,0.0,0.0001336783531005,-0.6297
arlnow.com,3.919777500548214e-05,0.0,-0.2506
armenianweekly.com,0.0002273100810799,1.506090839734111e-05,-0.0196
armenpress.am,3.257227762495211e-07,0.0,
armradio.am,2.6798101136892413e-05,1.295852093730461e-05,
armstrongnd.com,0.0,0.0004355104926064,
armytimes.com,6.484844363513192e-06,1.608419432921728e-05,0.4144
arrl.org,0.0,0.000119445376048,
artnet.com,8.54282008618062e-06,0.0,-0.5338
artstation.com,0.0,3.741505470914511e-05,-0.2012
arvadapress.com,1.8336711744774173e-05,0.0,
as.com,0.0002347943021433,0.0,
asbarez.com,1.2903063613702618e-05,4.009420333078455e-06,
ase.org,2.2260190640507043e-05,0.0003258514511068,
ashepostandtimes.com,0.0,4.1545408834172574e-05,
asianjournal.com,6.729136445700332e-06,0.0,
asmdc.org,0.0003312378550746,0.0,
aspendailynews.com,1.8085016872217725e-05,1.1572433629581432e-05,
aspenideas.org,2.813060340336773e-07,0.0,-0.4279
aspenpublicradio.org,0.0,8.111866659963833e-06,
aspentimes.com,0.0,4.269893115737844e-06,-0.1952
aspirepac.org,7.4027903693072975e-09,0.0,
astoriapost.com,7.100756522239559e-05,0.0,
athensmessenger.com,0.0,8.037445864918294e-06,
athensnews.com,0.0,8.037445864918294e-06,
athensreview.com,0.0,0.0001853263848621,
atholdailynews.com,1.61306802147206e-05,1.1163119256830965e-07,
atlantamagazine.com,9.682849803053943e-06,8.046748464298986e-06,-0.4232
atlanticcouncil.org,1.205174272123228e-05,4.863398956226023e-05,-0.1156
atriumhealth.org,2.6872129040585487e-06,0.0,
auburnexaminer.com,2.1149772085110947e-05,0.0,
auburnpub.com,0.0002371335839,0.0005246479998722,-0.0307
audible.com,0.0,9.302599380692472e-09,0.0197
augustachronicle.com,7.424998740415218e-06,0.0001781447781402,
augustafreepress.com,3.227616601017981e-06,7.395566507650513e-06,
austindailyherald.com,0.0,4.334081051464622e-05,
autonews.com,3.2172526945009514e-05,8.320244886091345e-05,0.3198
avclub.com,6.277566233172588e-06,0.0,-0.5027
avenuenews.com,1.7396557367872148e-06,0.0,
averyjournal.com,0.0,3.148929890364401e-05,
aviationpros.com,0.0,1.547952536947227e-05,
avpress.com,0.0,3.739644951038373e-06,
axios.com,0.0006644892691297,0.0003643456073442,-0.3361
ayannapressley.com,0.0003456214767622,0.0,
azcapitoltimes.com,6.031793592911586e-05,6.400188373916419e-05,-0.0592
azcentral.com,0.0006825520776308,0.0019709510333866,0.1353
azdailysun.com,1.85661982462227e-05,6.083899994972876e-05,-0.2053
azfamily.com,9.145407222242236e-05,0.0003248839807713,0.3254
azmirror.com,0.0002072929359213,0.0003389867214324,
azpbs.org,0.0006137357383577,0.0003718155946468,
azpm.org,0.0002561587551491,4.055003070043848e-05,-0.1923
babinforcongress.com,0.0,0.0001738004642294,
badgerherald.com,3.226876321981051e-05,0.0,-0.285
badlefthook.com,9.601419108991564e-06,0.0,
bain.com,0.0,4.995495867431857e-06,0.1391
bainbridgereview.com,1.1955506446431284e-05,0.0,
bakersfield.com,0.0002812097977588,0.0001095753181051,-0.0985
bakersfieldnow.com,0.0001140399856391,4.186169721311611e-06,
baldersonforcongress.com,0.0,0.0004451107751673,
ballotpedia.org,0.075921722539301,0.0741293911199395,-0.0038
baltimorefishbowl.com,1.4065301701683866e-07,0.0,-0.4552
baltimoresun.com,0.0006505202037028,0.0001599302885528,-0.2034
bangordailynews.com,0.0006048153759627,0.0,-0.1939
bankinfosecurity.com,0.0,0.0001826472362405,0.2134
bannergraphic.com,0.0,0.0001454740491152,
baptistnews.com,2.894491034399153e-06,0.0,0.0033
barbaraleeforcongress.org,0.00035840609573,0.0,
barbaraleefoundation.org,3.0033120528279704e-05,0.0,
barnstablepatriot.com,3.5289101690487886e-05,0.0,
barraganforcongress.com,0.000354097671735,0.0,
barrassousdin.com,0.0,3.497777367140369e-06,
barrettsportsmedia.com,4.5305077060160655e-06,0.0,
barrons.com,0.0,3.803832886765151e-05,0.3175
barrowneuro.org,0.0,4.158261923169534e-06,
bartlesvilleradio.com,0.0,3.897789140510145e-06,
baseball-almanac.com,0.0002969777412455,0.0,
baseball-reference.com,0.0007798913681968,3.5694073823717004e-05,0.2275
basketball-reference.com,0.0,4.319196892455514e-05,0.0635
baynews9.com,0.0002594529968634,0.0006444840850943,0.3467
baystatebanner.com,5.162706003554909e-05,0.0,-0.9036
baytownsun.com,0.0,4.055003070043848e-05,
bbc.co.uk,0.0001247518233035,8.083958861821756e-06,-0.2004
bbc.com,3.0077537270495543e-05,0.0002258578103638,-0.2578
bcdemocrat.com,0.0,4.055933329981917e-06,
bcrnews.com,0.0,0.0001655583611781,
bdtonline.com,0.0,7.298819474091312e-05,0.2999
beaconjournal.com,5.7023694214774106e-05,0.0002022013001387,
beatricedailysun.com,2.2585913416756563e-05,3.650339996983725e-05,
beattyforcongress.com,0.0003460952553458,0.0,
beaumontenterprise.com,3.787267552937613e-05,8.935146705155117e-05,-0.2306
beauregarddailynews.net,0.0,0.0001155754947057,
beavercreeknewscurrent.com,0.0,1.7674938823315693e-07,
becauseofthemwecan.com,7.4027903693072975e-09,0.0,-0.7454
beckershospitalreview.com,5.907426714707223e-06,0.0,0.099
bedfordgazette.com,0.0,9.302599380692472e-09,
bedfordnow.com,0.0,4.250357657038389e-05,
beefmagazine.com,3.856113503372171e-05,0.0,0.8165
belfercenter.org,0.0,4.6512996903462355e-08,
belleplaineherald.com,2.990727309200148e-06,0.0,
bellevueheraldleader.com,6.008844942766733e-05,0.0,
bellevuereporter.com,1.6138083005089906e-05,0.0,
bellinghamherald.com,0.0001845293555357,3.215908605905387e-05,-0.0871
beloitdailynews.com,1.2636563160407556e-05,2.2428567106849544e-05,
bemidjipioneer.com,0.0002295531265618,0.0002746964571124,
bencline.com,0.0,0.0004460689429035,
bendbulletin.com,0.0,0.0001423111653258,-0.1403
benitolink.com,8.964779137231137e-06,0.0,
benmcadams.com,0.000347442563193,0.0,
benniethompson.com,3.500779565645421e-05,0.0,
