domain,cmpt_rank,is_home_district,category,counts
710keel.com,5.0,True,news,1
710keel.com,6.0,False,news,197
710keel.com,7.0,False,news,144
710keel.com,7.0,True,news,1
710keel.com,8.0,False,news,136
710keel.com,9.0,False,news,204
710keel.com,10.0,False,news,58
710keel.com,11.0,False,news,144
710keel.com,11.0,True,news,1
710keel.com,12.0,False,news,25
83degreesmedia.com,2.0,False,news,11
83degreesmedia.com,3.0,False,news,6
83degreesmedia.com,4.0,False,news,47
83degreesmedia.com,5.0,False,news,117
83degreesmedia.com,6.0,False,news,3154
83degreesmedia.com,6.0,True,news,5
83degreesmedia.com,7.0,False,news,4138
83degreesmedia.com,7.0,True,news,6
83degreesmedia.com,8.0,False,news,1304
83degreesmedia.com,8.0,True,news,3
83degreesmedia.com,9.0,False,news,185
83degreesmedia.com,10.0,False,news,22
8newsnow.com,0.0,False,news,832
8newsnow.com,0.0,True,news,1
8newsnow.com,1.0,False,news,149
8newsnow.com,2.0,False,news,1122
8newsnow.com,2.0,True,news,4
8newsnow.com,3.0,False,news,1439
8newsnow.com,3.0,True,news,1
8newsnow.com,4.0,False,news,4990
8newsnow.com,4.0,True,news,10
8newsnow.com,5.0,False,news,3808
8newsnow.com,5.0,True,news,11
8newsnow.com,6.0,False,news,2012
8newsnow.com,6.0,True,news,7
8newsnow.com,7.0,False,news,3507
8newsnow.com,7.0,True,news,5
8newsnow.com,8.0,False,news,2306
8newsnow.com,8.0,True,news,8
8newsnow.com,9.0,False,news,1181
8newsnow.com,9.0,True,news,4
8newsnow.com,10.0,False,news,1752
8newsnow.com,10.0,True,news,2
8newsnow.com,11.0,False,news,744
8newsnow.com,12.0,False,news,52
945theanswer.com,3.0,False,other_third_party,1
945theanswer.com,4.0,False,other_third_party,2
945theanswer.com,7.0,False,other_third_party,38
945theanswer.com,8.0,False,other_third_party,210
945theanswer.com,9.0,False,other_third_party,788
945theanswer.com,10.0,False,other_third_party,375
945theanswer.com,11.0,False,other_third_party,2
953mnc.com,2.0,False,news,401
953mnc.com,3.0,False,news,749
953mnc.com,3.0,True,news,1
953mnc.com,4.0,False,news,5952
953mnc.com,4.0,True,news,10
953mnc.com,5.0,False,news,18276
953mnc.com,5.0,True,news,44
953mnc.com,6.0,False,news,12738
953mnc.com,6.0,True,news,31
953mnc.com,7.0,False,news,6664
953mnc.com,7.0,True,news,17
953mnc.com,8.0,False,news,342
959watd.com,2.0,False,news,1
959watd.com,3.0,False,news,118
959watd.com,4.0,False,news,791
959watd.com,4.0,True,news,4
959watd.com,5.0,False,news,821
959watd.com,5.0,True,news,1
959watd.com,6.0,False,news,3852
959watd.com,6.0,True,news,8
959watd.com,7.0,False,news,48
959watd.com,8.0,False,news,23
959watd.com,9.0,False,news,1
960thepatriot.com,3.0,False,news,2
960thepatriot.com,9.0,False,news,5
960thepatriot.com,10.0,False,news,190
9and10news.com,0.0,False,news,18
9and10news.com,1.0,False,news,639
9and10news.com,1.0,True,news,1
9and10news.com,2.0,False,news,333
9and10news.com,2.0,True,news,1
9and10news.com,3.0,False,news,1446
9and10news.com,3.0,True,news,4
9and10news.com,4.0,False,news,6787
9and10news.com,4.0,True,news,17
9and10news.com,5.0,False,news,4603
9and10news.com,5.0,True,news,10
9and10news.com,6.0,False,news,3406
9and10news.com,6.0,True,news,9
9and10news.com,7.0,False,news,899
9and10news.com,7.0,True,news,2
9and10news.com,8.0,False,news,2499
9and10news.com,8.0,True,news,5
9and10news.com,9.0,False,news,508
9and10news.com,9.0,True,news,2
9and10news.com,10.0,False,news,855
9and10news.com,10.0,True,news,2
9and10news.com,11.0,False,news,442
9and10news.com,11.0,True,news,1
9and10news.com,12.0,False,news,3
9news.com,1.0,False,news,2602
9news.com,1.0,True,news,7
9news.com,2.0,False,news,537
9news.com,2.0,True,news,1
9news.com,3.0,False,news,1381
9news.com,3.0,True,news,3
9news.com,4.0,False,news,2459
9news.com,4.0,True,news,5
9news.com,5.0,False,news,3817
9news.com,5.0,True,news,7
9news.com,6.0,False,news,2255
9news.com,6.0,True,news,5
9news.com,7.0,False,news,2945
9news.com,7.0,True,news,5
9news.com,8.0,False,news,1693
9news.com,8.0,True,news,3
9news.com,9.0,False,news,824
9news.com,9.0,True,news,2
9news.com,10.0,False,news,1251
9news.com,10.0,True,news,4
9news.com,11.0,False,news,343
9news.com,11.0,True,news,1
9news.com,12.0,False,news,1
aa.com.tr,2.0,False,news,13
aa.com.tr,3.0,False,news,11
aa.com.tr,4.0,False,news,4
aa.com.tr,6.0,False,news,739
aa.com.tr,6.0,True,news,2
aa.com.tr,7.0,False,news,33
aaf.org,11.0,False,other_third_party,29
abajournal.com,1.0,False,news,19
abajournal.com,2.0,False,news,2024
abajournal.com,2.0,True,news,4
abajournal.com,3.0,False,news,298
abajournal.com,3.0,True,news,1
abajournal.com,4.0,False,news,2037
abajournal.com,4.0,True,news,6
abajournal.com,5.0,False,news,44
abajournal.com,6.0,False,news,1
abajournal.com,7.0,False,news,11
abbyfinkenauer.com,0.0,False,campaign_personal,1396
abbyfinkenauer.com,0.0,True,campaign_personal,5
abbyfinkenauer.com,1.0,False,campaign_personal,20657
abbyfinkenauer.com,1.0,True,campaign_personal,50
abbyfinkenauer.com,2.0,False,campaign_personal,11743
abbyfinkenauer.com,2.0,True,campaign_personal,31
abbyfinkenauer.com,3.0,False,campaign_personal,11764
abbyfinkenauer.com,3.0,True,campaign_personal,24
abbyfinkenauer.com,4.0,False,campaign_personal,675
abbyfinkenauer.com,4.0,True,campaign_personal,1
abbyfinkenauer.com,5.0,False,campaign_personal,563
abbyfinkenauer.com,6.0,False,campaign_personal,390
abc10.com,0.0,False,news,2
abc10.com,1.0,False,news,1866
abc10.com,1.0,True,news,5
abc10.com,2.0,False,news,2794
abc10.com,2.0,True,news,6
abc10.com,3.0,False,news,3327
abc10.com,3.0,True,news,8
abc10.com,4.0,False,news,13174
abc10.com,4.0,True,news,21
abc10.com,5.0,False,news,20666
abc10.com,5.0,True,news,37
abc10.com,6.0,False,news,13546
abc10.com,6.0,True,news,23
abc10.com,7.0,False,news,8241
abc10.com,7.0,True,news,11
abc10.com,8.0,False,news,4120
abc10.com,8.0,True,news,16
abc10.com,9.0,False,news,5570
abc10.com,9.0,True,news,10
abc10.com,10.0,False,news,2858
abc10.com,10.0,True,news,7
abc10.com,11.0,False,news,710
abc10.com,12.0,False,news,97
abc10.com,12.0,True,news,1
abc10up.com,3.0,False,news,2
abc10up.com,4.0,False,news,517
abc10up.com,4.0,True,news,1
abc10up.com,5.0,False,news,2668
abc10up.com,5.0,True,news,6
abc10up.com,6.0,False,news,45
abc10up.com,7.0,False,news,2
abc10up.com,8.0,False,news,985
abc10up.com,8.0,True,news,3
abc11.com,0.0,False,news,26
abc11.com,1.0,False,news,1788
abc11.com,1.0,True,news,2
abc11.com,2.0,False,news,513
abc11.com,2.0,True,news,2
abc11.com,3.0,False,news,649
abc11.com,3.0,True,news,3
abc11.com,4.0,False,news,3293
abc11.com,4.0,True,news,6
abc11.com,5.0,False,news,2812
abc11.com,5.0,True,news,9
abc11.com,6.0,False,news,3096
abc11.com,6.0,True,news,2
abc11.com,7.0,False,news,1568
abc11.com,7.0,True,news,5
abc11.com,8.0,False,news,331
abc11.com,8.0,True,news,2
abc11.com,9.0,False,news,258
abc11.com,9.0,True,news,1
abc11.com,10.0,False,news,34
abc11.com,10.0,True,news,1
abc11.com,11.0,False,news,80
abc12.com,1.0,False,news,2452
abc12.com,1.0,True,news,4
abc12.com,2.0,False,news,2633
abc12.com,2.0,True,news,7
abc12.com,3.0,False,news,5096
abc12.com,3.0,True,news,7
abc12.com,4.0,False,news,2599
abc12.com,4.0,True,news,6
abc12.com,5.0,False,news,4504
abc12.com,5.0,True,news,2
abc12.com,6.0,False,news,4705
abc12.com,6.0,True,news,11
abc12.com,7.0,False,news,2170
abc12.com,7.0,True,news,3
abc12.com,8.0,False,news,1004
abc12.com,8.0,True,news,2
abc12.com,9.0,False,news,326
abc12.com,9.0,True,news,1
abc12.com,10.0,False,news,1
abc13.com,1.0,False,news,131
abc13.com,1.0,True,news,1
abc13.com,2.0,False,news,79
