domain,cmpt_rank,is_home_district,counts
8newsnow.com,6.0,False,2012
8newsnow.com,6.0,True,7
8newsnow.com,7.0,False,3507
8newsnow.com,7.0,True,5
8newsnow.com,8.0,False,2306
8newsnow.com,8.0,True,8
8newsnow.com,9.0,False,1181
8newsnow.com,9.0,True,4
8newsnow.com,10.0,False,1752
8newsnow.com,10.0,True,2
8newsnow.com,11.0,False,744
8newsnow.com,12.0,False,52
945theanswer.com,3.0,False,1
945theanswer.com,4.0,False,2
945theanswer.com,7.0,False,38
945theanswer.com,8.0,False,210
945theanswer.com,9.0,False,788
945theanswer.com,10.0,False,375
945theanswer.com,11.0,False,2
953mnc.com,2.0,False,401
953mnc.com,3.0,False,749
953mnc.com,3.0,True,1
953mnc.com,4.0,False,5952
953mnc.com,4.0,True,10
953mnc.com,5.0,False,18276
953mnc.com,5.0,True,44
953mnc.com,6.0,False,12738
953mnc.com,6.0,True,31
953mnc.com,7.0,False,6664
953mnc.com,7.0,True,17
953mnc.com,8.0,False,342
959watd.com,2.0,False,1
959watd.com,3.0,False,118
959watd.com,4.0,False,791
959watd.com,4.0,True,4
959watd.com,5.0,False,821
959watd.com,5.0,True,1
959watd.com,6.0,False,3852
959watd.com,6.0,True,8
959watd.com,7.0,False,48
959watd.com,8.0,False,23
959watd.com,9.0,False,1
960thepatriot.com,3.0,False,2
960thepatriot.com,9.0,False,5
960thepatriot.com,10.0,False,190
9and10news.com,0.0,False,18
9and10news.com,1.0,False,639
9and10news.com,1.0,True,1
9and10news.com,2.0,False,333
9and10news.com,2.0,True,1
9and10news.com,3.0,False,1446
9and10news.com,3.0,True,4
9and10news.com,4.0,False,6787
9and10news.com,4.0,True,17
9and10news.com,5.0,False,4603
9and10news.com,5.0,True,10
9and10news.com,6.0,False,3406
9and10news.com,6.0,True,9
9and10news.com,7.0,False,899
9and10news.com,7.0,True,2
9and10news.com,8.0,False,2499
9and10news.com,8.0,True,5
9and10news.com,9.0,False,508
9and10news.com,9.0,True,2
9and10news.com,10.0,False,855
9and10news.com,10.0,True,2
9and10news.com,11.0,False,442
9and10news.com,11.0,True,1
9and10news.com,12.0,False,3
9news.com,1.0,False,2602
9news.com,1.0,True,7
9news.com,2.0,False,537
9news.com,2.0,True,1
9news.com,3.0,False,1381
9news.com,3.0,True,3
9news.com,4.0,False,2459
9news.com,4.0,True,5
9news.com,5.0,False,3817
9news.com,5.0,True,7
9news.com,6.0,False,2255
9news.com,6.0,True,5
9news.com,7.0,False,2945
9news.com,7.0,True,5
9news.com,8.0,False,1693
9news.com,8.0,True,3
9news.com,9.0,False,824
9news.com,9.0,True,2
9news.com,10.0,False,1251
9news.com,10.0,True,4
9news.com,11.0,False,343
9news.com,11.0,True,1
9news.com,12.0,False,1
aa.com.tr,2.0,False,13
aa.com.tr,3.0,False,11
aa.com.tr,4.0,False,4
aa.com.tr,6.0,False,739
aa.com.tr,6.0,True,2
aa.com.tr,7.0,False,33
aaf.org,11.0,False,29
abajournal.com,1.0,False,19
abajournal.com,2.0,False,2024
abajournal.com,2.0,True,4
abajournal.com,3.0,False,298
abajournal.com,3.0,True,1
abajournal.com,4.0,False,2037
abajournal.com,4.0,True,6
abajournal.com,5.0,False,44
abajournal.com,6.0,False,1
abajournal.com,7.0,False,11
abbyfinkenauer.com,0.0,False,1396
abbyfinkenauer.com,0.0,True,5
abbyfinkenauer.com,1.0,False,20657
abbyfinkenauer.com,1.0,True,50
abbyfinkenauer.com,2.0,False,11743
abbyfinkenauer.com,2.0,True,31
abbyfinkenauer.com,3.0,False,11764
abbyfinkenauer.com,3.0,True,24
abbyfinkenauer.com,4.0,False,675
abbyfinkenauer.com,4.0,True,1
abbyfinkenauer.com,5.0,False,563
