domain,counts
newscentermaine.com,45978
tjcoxforcongress.com,45971
khq.com,45952
bilirakisforcongress.com,45875
farmanddairy.com,45810
hernforcongress.com,45781
denverforcongress.com,45701
ktbs.com,45673
votetipton.com,45671
hurdforcongress.com,45541
chronline.com,45495
qns.com,45425
wmdt.com,45369
mullinforcongress.com,45226
953mnc.com,45225
mynorthwest.com,45122
uticaod.com,45087
katv.com,45071
nbcmiami.com,44975
miami.edu,44938
azpm.org,44925
jamescomer.com,44868
votevargas.com,44852
wlbt.com,44815
wndu.com,44752
asmdc.org,44745
news8000.com,44722
higginsforcongress.com,44683
estesforcongress.com,44658
montgomerynews.com,44443
katu.com,44434
quigleyforcongress.com,44366
fox17online.com,44363
wtok.com,44338
wgowam.com,44276
ktvu.com,44239
supportfort.com,44135
mooneyforcongress.com,44117
stevescalise.com,44044
fox10phoenix.com,43997
delcotimes.com,43970
theoakleafnews.com,43922
aderholtforcongress.org,43917
boston.gov,43905
thebrunswicknews.com,43865
scnow.com,43721
missourinet.com,43721
click2houston.com,43713
pramilaforcongress.com,43692
linkedin.com,43570
federalnewsnetwork.com,43337
marcialfudge.com,43294
heraldtribune.com,43262
citizensvoice.com,43089
montereycountyweekly.com,42961
insidehighered.com,42908
kqed.org,42742
fox13memphis.com,42713
virginiamercury.com,42661
spacenews.com,42507
10tv.com,42497
newyorker.com,42484
mikethompson.com,42481
abc13.com,42468
kstp.com,42388
journalnow.com,42380
readingeagle.com,42360
amashforcongress.com,42303
billpascrell.com,42208
wglt.org,42127
times-news.com,42004
foxcarolina.com,41894
timesuniononline.com,41728
khou.com,41683
ocasiocortez.com,41528
fergusonforgeorgia.com,41343
kaygranger.com,41300
krdo.com,41295
readsludge.com,41187
wbaltv.com,41066
mobrooksforcongress.com,40920
imdb.com,40874
fortune.com,40859
mysuncoast.com,40805
wkrn.com,40780
theatlantic.com,40724
wgbh.org,40696
joinadrian.com,40664
manisteenews.com,40643
pamplinmedia.com,40591
kendrahorn.com,40563
salisburypost.com,40411
malegislature.gov,40394
local12.com,40392
johnrutherfordforcongress.com,40302
baseball-almanac.com,40117
local10.com,40081
wave3.com,39990
bradenton.com,39902
townandcountrymag.com,39896
nationalreview.com,39854
votedoggett.com,39853
westword.com,39817
courierpress.com,39805
dnronline.com,39756
kslnewsradio.com,39745
andykimmusic.com,39692
people.com,39650
mikerogersforcongress.com,39648
tribtoday.com,39638
wdbj7.com,39634
wkyt.com,39630
tylerpaper.com,39305
smithgill.com,38889
lbpost.com,38657
thetelegraph.com,38645
bnd.com,38612
fredericawilsonforcongress.com,38572
oleantimesherald.com,38551
sacbee.com,38496
foreignpolicy.com,38442
francisrooney.com,38349
wfsb.com,38261
wdet.org,38251
ase.org,38035
argus-press.com,37909
kennedyforma.com,37838
santamariasun.com,37808
joemeansjobs.com,37776
nbclosangeles.com,37378
dailygazette.com,37306
nbc25news.com,37210
tcpalm.com,37202
fox4news.com,37157
womackforcongress.com,37125
kwwl.com,37123
pressherald.com,37110
wwnytv.com,36968
govtech.com,36930
wskg.org,36929
medium.com,36922
stlpublicradio.org,36905
kob.com,36820
kwqc.com,36803
wfaa.com,36794
thecourier.com,36744
krqe.com,36703
thenation.com,36666
scottforga.com,36658
dailybulletin.com,36643
kiiitv.com,36579
congressmangregorymeeks.com,36381
floridatoday.com,36352
app.com,36283
somerset-kentucky.com,36160
theatlantavoice.com,36151
kyma.com,36092
jodyhice.com,36050
wpsdlocal6.com,36030
tulsigabbard.com,35960
wcjb.com,35943
wenatcheeworld.com,35803
kgw.com,35671
maxroseforcongress.com,35626
dailyprogress.com,35604
abc3340.com,35563
burlingtoncountytimes.com,35546
nbc15.com,35519
votetomrice.com,35496
spacecoastdaily.com,35484
nhl.com,35424
wbko.com,35414
nbcdfw.com,35369
hpherald.com,35275
sabr.org,35234
kget.com,35168
indianz.com,35134
vernbuchanan.com,35115
paultonko.com,35072
siouxcityjournal.com,35056
newsandsentinel.com,35030
rossspano.com,35009
wvgazettemail.com,34950
ncpolicywatch.com,34946
washingtontimes.com,34872
duluthnewstribune.com,34854
sjvsun.com,34836
mdjonline.com,34826
riverreporter.com,34749
journal-news.com,34745
tucson.com,34717
burgessforcongress.org,34665
princewilliamtimes.com,34619
lacyclay.org,34588
lowellsun.com,34485
wate.com,34480
kgou.org,34416
citizensforethics.org,34409
wtap.com,34399
scottdesjarlais.com,34355
cooperforassembly.com,34353
cleaverforcongress.com,34202
indianapublicmedia.org,34143
wbfo.org,34119
massispost.com,34098
fox13now.com,34089
kusi.com,33934
3newsnow.com,33763
spotify.com,33711
bridgemi.com,33664
wistv.com,33624
newstribune.com,33542
nationbuilder.com,33522
ydr.com,33490
riverfronttimes.com,33438
lmtonline.com,33385
kitv.com,33368
wmicentral.com,33359
cwuobserver.com,33335
aldianews.com,33317
cedricrichmond.com,33282
paysonroundup.com,33196
covnews.com,33168
americanbanker.com,33109
washingtonblade.com,32984
captainhiggins.com,32951
kmbc.com,32943
wsjm.com,32934
thebrownandwhite.com,32896
justsecurity.org,32854
silive.com,32837
foxla.com,32688
nfl.com,32644
pasoroblesdailynews.com,32639
wpr.org,32516
texarkanagazette.com,32501
safetyandhealthmagazine.com,32459
albanyherald.com,32439
pahomepage.com,32395
bloombergtax.com,32355
abc7.com,32344
njspotlight.com,32332
armenianweekly.com,32325
cw34.com,32156
statesmanjournal.com,32010
kxan.com,32003
thestarpress.com,31941
northglenn-thorntonsentinel.com,31933
pe.com,31874
urbanmilwaukee.com,31807
pressofatlanticcity.com,31735
as.com,31717
loudountimes.com,31598
wpri.com,31597
communityimpact.com,31547
wsmv.com,31369
thedailystar.com,31362
defensenews.com,31282
fox6now.com,31253
progressiverailroading.com,31235
utilitydive.com,31209
wgem.com,31205
brownsvilleherald.com,31190
fox5atlanta.com,31128
cleveland19.com,31071
live5news.com,31014
abc12.com,30875
rafu.com,30786
wishtv.com,30626
sent-trib.com,30623
cbs19news.com,30599
corvallisadvocate.com,30575
timesofsandiego.com,30466
wkbw.com,30430
kcbd.com,30316
wnypapers.com,30293
history.com,30275
tennessean.com,30233
radioiowa.com,30157
qchron.com,30093
fox10tv.com,29905
king5.com,29901
inlander.com,29890
wtop.com,29888
myfoxzone.com,29854
goerie.com,29733
wtnh.com,29706
5newsonline.com,29683
recordnet.com,29677
billflores.com,29667
clevelandjewishnews.com,29654
petersonforcongress.com,29629
engelforcongress.com,29587
abc15.com,29565
johnshimkus.com,29556
militarytimes.com,29472
beaconjournal.com,29439
buckslocalnews.com,29398
thecapistranodispatch.com,29332
mainebeacon.com,29224
newsminer.com,29197
heraldnews.com,29121
kctv5.com,29027
dailyfreeman.com,28937
newsandtribune.com,28891
keyc.com,28864
wjhg.com,28834
ourmidland.com,28818
heraldnet.com,28811
wric.com,28776
fox32chicago.com,28730
wlwt.com,28595
wdtn.com,28587
tuftsdaily.com,28571
recordonline.com,28542
kttc.com,28468
bellinghamherald.com,28384
pelosiforcongress.org,28344
bbc.com,28342
centertech.com,28302
vcreporter.com,28238
wkyc.com,28236
wrcbtv.com,28220
greeleytribune.com,28101
lehighvalleylive.com,28037
redlandscommunitynews.com,28008
chicoer.com,27959
wcax.com,27707
newschannel20.com,27599
fox26medford.com,27565
hawaiinewsnow.com,27475
nbc29.com,27468
keyt.com,27317
newsdakota.com,27168
military.com,27113
drgnews.com,27093
yourcentralvalley.com,27065
mainepublic.org,27057
idahopress.com,27049
tsl.news,27016
8newsnow.com,26999
wktv.com,26992
feedstuffs.com,26989
statesboroherald.com,26989
sportingnews.com,26978
wttw.com,26860
wcpo.com,26854
yorkdispatch.com,26818
wbtw.com,26751
ktvn.com,26738
rug.nl,26649
mymcmedia.org,26645
hillsdale.net,26594
sacurrent.com,26577
wsbtv.com,26526
wbap.com,26511
msn.com,26499
mccarthyforcongress.com,26448
wpde.com,26422
newschannel9.com,26400
nevadaappeal.com,26394
wxii12.com,26370
columbian.com,26327
acainternational.org,26280
archives.gov,26232
columbiamissourian.com,26166
queenseagle.com,26154
fayobserver.com,26126
nbcchicago.com,26113
lamag.com,26070
wrdw.com,26061
sfgate.com,26045
binghamtonhomepage.com,26035
gwinnettdailypost.com,26028
winknews.com,25929
voiceofsandiego.org,25928
thenewsstar.com,25918
muskogeephoenix.com,25889
news9.com,25868
tedyoho.com,25851
wamu.org,25849
ucsdguardian.org,25764
wcnc.com,25750
tribtown.com,25715
eugeneweekly.com,25693
shawneemissionpost.com,25632
dailymail.co.uk,25604
wisn.com,25570
marinij.com,25531
coloradosun.com,25462
commercialappeal.com,25451
fairfieldsuntimes.com,25417
12news.com,25414
politifact.com,25379
loudermilkforcongress.com,25355
the-journal.com,25337
slate.com,25322
fox5ny.com,25264
wibc.com,25235
wkbn.com,25191
thereporteronline.com,25177
timesleader.com,25176
lockhaven.com,25173
gastongazette.com,25167
missoulacurrent.com,24980
news12.com,24976
chron.com,24923
hourdetroit.com,24908
okcfox.com,24823
thespacereview.com,24783
shoshonenewspress.com,24721
augustachronicle.com,24681
fbindependent.com,24657
rgj.com,24623
bcrnews.com,24547
naturalproductsinsider.com,24544
trains.com,24526
gvwire.com,24489
thetimesweekly.com,24457
amodeifornevada.com,24452
nbcnewyork.com,24398
thenewstribune.com,24383
mattgaetz.com,24310
wfyi.org,24299
clarksvillenow.com,24295
indeonline.com,24226
wokv.com,24063
nhpr.org,24061
centralillinoisproud.com,24018
lattaforcongress.com,23969
statenews.com,23945
gazettenet.com,23898
linns.com,23875
highlandcountypress.com,23861
tahlequahdailypress.com,23776
fox9.com,23765
kpq.com,23749
hudsoncountyview.com,23743
drpaulgosar.com,23717
kelleyarmstrong.com,23708
9and10news.com,23704
mytwintiers.com,23703
iowa.gov,23693
clickorlando.com,23672
democratandchronicle.com,23662
rochesterfirst.com,23628
poststar.com,23611
pro-football-reference.com,23608
kxly.com,23574
walb.com,23544
medina-gazette.com,23541
selmatimesjournal.com,23539
vadogwood.com,23538
wcbcradio.com,23512
fox61.com,23487
texasmonthly.com,23477
ktvl.com,23446
starexponent.com,23441
joyceforcongress.com,23399
cutimes.com,23350
medpagetoday.com,23299
newjerseyhills.com,23260
turnto10.com,23182
isthmus.com,23084
nwherald.com,23075
madison.com,23026
kmaland.com,22941
jweekly.com,22916
ebjcampaign.com,22803
dailystandard.com,22755
salon.com,22747
kiwaradio.com,22711
kkoh.com,22665
fox2detroit.com,22654
theday.com,22628
dallasinnovates.com,22615
helenair.com,22565
pottsmerc.com,22533
kbjr6.com,22515
goskagit.com,22501
staradvertiser.com,22493
gohmert.com,22484
vcstar.com,22450
wbbjtv.com,22443
fox13news.com,22443
journaltimes.com,22405
ksltv.com,22353
wfae.org,22352
kltv.com,22253
thelist.com,22246
seafoodsource.com,22235
klcc.org,22209
iowapublicradio.org,22207
times-herald.com,22206
ocgnews.com,22183
dailyitem.com,22151
sentinelcolorado.com,22149
urgentcomm.com,22072
myeasternshoremd.com,22037
journalstar.com,22025
davisenterprise.com,21984
whdh.com,21970
wgrz.com,21963
cyberscoop.com,21958
wisconsinexaminer.com,21906
cbs17.com,21867
reflector.com,21856
firstcoastnews.com,21844
thefern.org,21818
harrisondaily.com,21700
montgomeryadvertiser.com,21631
wsav.com,21628
dvidshub.net,21620
sgvtribune.com,21546
wtoc.com,21540
heraldandnews.com,21532
richlandsource.com,21441
wlfi.com,21435
whsv.com,21425
sunjournal.com,21387
lincolncourier.com,21362
ksn.com,21302
ibj.com,21285
bossierpress.com,21261
lenconnect.com,21242
timesheraldonline.com,21201
fox59.com,21198
dbrnews.com,21171
wbay.com,21156
ehrintelligence.com,21142
boston.com,21142
wvtf.org,21099
wesh.com,21086
pantagraph.com,21080
eptrail.com,21072
thv11.com,21049
fangraphs.com,21043
communitynewspapergroup.com,21036
9news.com,21019
reporternews.com,20940
aljazeera.com,20884
globalequality.org,20866
edweek.org,20828
mansfieldnewsjournal.com,20761
iheart.com,20750
pilotonline.com,20700
wnky.com,20656
