domain,dem_prop,rep_prop,bias_score
angelusnews.com,1.6798741436624198e-05,6.235141031817077e-05,
angiecraig.com,0.0002808504226783,0.0,
annaeshoo4congress.com,0.0002843757168755,0.0,
annanews.com,0.0,1.6208464130241135e-05,
annistonstar.com,0.0,3.901641601190939e-05,0.1353
annwagner.com,0.0,0.0003577930616346,
anthonybrown.com,0.0002907653126081,0.0,
antimusic.com,0.0,3.330297059747943e-06,
apa.org,5.306401451320746e-05,0.0,-0.3689
apnews.com,0.0018782374460358,0.0018420972952091,-0.3279
app.com,0.0002160612320258,0.0,0.0875
appeal-democrat.com,4.643026833795068e-05,0.0,
apr.org,0.0,1.9164484685567863e-05,
arabamericannews.com,1.0147130594827236e-05,0.0,
arabianbusiness.com,2.596331537174105e-06,0.0,-0.1763
architecturaldigest.com,2.4010111830013744e-05,0.0,-0.0305
archives.gov,0.0001562086442274,0.0,-0.0658
argonautnews.com,1.310075546280512e-07,0.0,
argus-press.com,9.083587446801332e-05,0.0001730455960747,
argusleader.com,1.2749417020848071e-05,2.8888035504510826e-05,0.4518
arizona.edu,0.0,7.6382960085962e-09,
arkansas.gov,8.33684438542144e-08,0.0,
arkansasbusiness.com,0.0,3.330297059747943e-05,0.1937
arkansasonline.com,7.1577763937689786e-06,0.0007101094650311,0.0116
arklatexhomepage.com,2.7547315804971125e-05,0.0001207614598959,0.2965
arktimes.com,0.0,0.0001197150133427,-0.6297
arlnow.com,3.40798288698335e-05,0.0,-0.2506
armenianweekly.com,0.0001828508169276,1.2366401237917249e-05,-0.0196
armenpress.am,2.620151092561024e-07,0.0,
armradio.am,2.155669762516115e-05,1.0640146339974506e-05,
armstrongnd.com,0.0,0.0003575944659384,
armytimes.com,5.216482629735129e-06,1.320661379886283e-05,0.4144
arrl.org,0.0,9.80757207503752e-05,
artnet.com,6.8719417291259575e-06,0.0,-0.5338
artstation.com,0.0,3.072122654657391e-05,-0.2012
arvadapress.com,1.4750259673349215e-05,0.0,
as.com,0.0001888712095517,0.0,
asbarez.com,1.0379371259849693e-05,3.292105579704962e-06,
ase.org,1.7906350762115904e-05,0.0002675542325891,
ashepostandtimes.com,0.0,3.411262997439063e-05,
asianjournal.com,5.4129939616772055e-06,0.0,
asmdc.org,0.0002664515014469,0.0,
aspendailynews.com,1.454779345256041e-05,9.502040234693672e-06,
aspenideas.org,2.2628577617572482e-07,0.0,-0.4279
aspenpublicradio.org,0.0,6.660594119495886e-06,
aspentimes.com,0.0,3.505977867945656e-06,-0.1952
aspirepac.org,5.9548888467295995e-09,0.0,
astoriapost.com,5.711929381783032e-05,0.0,
athensmessenger.com,0.0,6.599487751427117e-06,
athensnews.com,0.0,6.599487751427117e-06,
athensreview.com,0.0,0.0001521701330832,
atholdailynews.com,1.2975702797023796e-05,9.16595521031544e-08,
atlantamagazine.com,7.788994611522316e-06,6.607126047435713e-06,-0.4232
atlanticcouncil.org,9.694559042475788e-06,3.993301153294093e-05,-0.1156
atriumhealth.org,2.1616246513628447e-06,0.0,
auburnexaminer.com,1.7013117435106464e-05,0.0,
auburnpub.com,0.0001907529544272,0.0005316254021982,-0.0307
audible.com,0.0,7.6382960085962e-09,0.0197
augustachronicle.com,5.972753513269788e-06,0.0001808595728915,
augustafreepress.com,2.596331537174105e-06,6.072445326833978e-06,
austindailyherald.com,0.0,3.558682110404969e-05,
autonews.com,2.587994692788684e-05,6.831691950088441e-05,0.3198
avclub.com,5.0497457420267e-06,0.0,-0.5027
avenuenews.com,1.399398878981456e-06,0.0,
averyjournal.com,0.0,2.585563198909813e-05,
aviationpros.com,0.0,1.2710124558304076e-05,
avpress.com,0.0,3.070594995455672e-06,
axios.com,0.0005397213506233,0.0002991615014726,-0.3361
ayannapressley.com,0.0002780218504761,0.0,
azcapitoltimes.com,4.8520434323152777e-05,5.255147653914185e-05,-0.0592
azcentral.com,0.0005912311391475,0.0018057313679121,0.1353
azdailysun.com,1.4934861227597834e-05,4.995445589621914e-05,-0.2053
azfamily.com,7.356669681249747e-05,0.0002706782956566,0.3254
azmirror.com,0.0001667487974861,0.0002783395065532,
azpbs.org,0.0004936960147269,0.0003319221530535,
azpm.org,0.0002415660209564,3.329533230147083e-05,-0.1923
babinforcongress.com,0.0,0.0001427062843286,
badgerherald.com,2.5957360482894324e-05,0.0,-0.285
badlefthook.com,7.72349083420829e-06,0.0,
bain.com,0.0,4.10176495661616e-06,0.1391
bainbridgereview.com,9.617145487468304e-06,0.0,
bakersfield.com,0.0002262083626207,8.997148868525464e-05,-0.0985
bakersfieldnow.com,0.0001007328997312,3.43723320386829e-06,
baldersonforcongress.com,0.0,0.0003654771874193,
ballotpedia.org,0.0611012148467503,0.0608797551027865,-0.0038
baltimorefishbowl.com,1.1314288808786238e-07,0.0,-0.4552
baltimoresun.com,0.0005336294993331,0.0001313175849797,-0.2034
bangordailynews.com,0.0005749028339298,0.0,-0.1939
bankinfosecurity.com,0.0,0.0001499703038327,0.2134
bannergraphic.com,0.0,0.0001194476729824,
baptistnews.com,2.328361539071273e-06,0.0,0.0033
barbaraleeforcongress.org,0.0002883059435144,0.0,
barbaraleefoundation.org,2.4158984051181983e-05,0.0,
barnstablepatriot.com,2.838695513236e-05,0.0,
barraganforcongress.com,0.0002848401982056,0.0,
barrassousdin.com,0.0,2.871999299232171e-06,
barrettsportsmedia.com,3.6443919741985146e-06,0.0,
barrons.com,0.0,3.123299237914986e-05,0.3175
barrowneuro.org,0.0,3.414318315842501e-06,
bartlesvilleradio.com,0.0,3.200446027601808e-06,
baseball-almanac.com,0.0002388922758642,0.0,
baseball-reference.com,0.0006273534948918,2.9308141784983617e-05,0.2275
basketball-reference.com,0.0,3.644231025701247e-05,0.0635
baynews9.com,0.0002087069443001,0.0005291811474755,0.3467
baystatebanner.com,4.152939481709222e-05,0.0,-0.9036
baytownsun.com,0.0,3.329533230147083e-05,
bbc.co.uk,0.000100351786845,6.637679231470097e-06,-0.2004
bbc.com,2.419471338426236e-05,0.0001854501887927,-0.2578
bcdemocrat.com,0.0,3.330297059747943e-06,
bcrnews.com,0.0,0.000187497252123,
bdtonline.com,0.0,5.993007048344578e-05,0.2999
beaconjournal.com,4.58705087863581e-05,0.0001660260020428,
