domain,serp_rank,is_home_district,category,counts
3newsnow.com,7.0,False,news,1900
3newsnow.com,7.0,True,news,5
3newsnow.com,8.0,False,news,3950
3newsnow.com,8.0,True,news,3
3newsnow.com,9.0,False,news,6286
3newsnow.com,9.0,True,news,14
3newsnow.com,10.0,False,news,2545
3newsnow.com,10.0,True,news,8
3newsnow.com,11.0,False,news,6137
3newsnow.com,11.0,True,news,15
3newsnow.com,12.0,False,news,2412
3newsnow.com,12.0,True,news,3
3newsnow.com,13.0,False,news,1058
3newsnow.com,13.0,True,news,5
3newsnow.com,14.0,False,news,1627
3newsnow.com,14.0,True,news,3
3newsnow.com,15.0,False,news,1139
3newsnow.com,15.0,True,news,3
3newsnow.com,16.0,False,news,278
3newsnow.com,16.0,True,news,1
3newsnow.com,17.0,False,news,651
3newsnow.com,17.0,True,news,1
3newsnow.com,18.0,False,news,125
3newsnow.com,18.0,True,news,1
3newsnow.com,19.0,False,news,100
3newsnow.com,19.0,True,news,1
3newsnow.com,20.0,False,news,25
3newsnow.com,21.0,False,news,17
401kspecialistmag.com,2.0,False,news,258
401kspecialistmag.com,5.0,False,news,2660
401kspecialistmag.com,5.0,True,news,6
401kspecialistmag.com,6.0,False,news,2482
401kspecialistmag.com,6.0,True,news,7
401kspecialistmag.com,7.0,False,news,414
401kspecialistmag.com,7.0,True,news,1
401kspecialistmag.com,8.0,False,news,4007
401kspecialistmag.com,8.0,True,news,9
401kspecialistmag.com,9.0,False,news,21
401kspecialistmag.com,10.0,False,news,6
401kspecialistmag.com,11.0,False,news,165
401kspecialistmag.com,12.0,False,news,372
401kspecialistmag.com,12.0,True,news,1
401kspecialistmag.com,13.0,False,news,33
401kspecialistmag.com,15.0,False,news,2
401kspecialistmag.com,20.0,False,news,1
401kspecialistmag.com,21.0,False,news,3
401kspecialistmag.com,22.0,False,news,2
401kspecialistmag.com,23.0,False,news,1
401kspecialistmag.com,26.0,False,news,1
4029tv.com,4.0,False,news,555
4029tv.com,5.0,False,news,225
4029tv.com,6.0,False,news,472
4029tv.com,7.0,False,news,15
4029tv.com,8.0,False,news,806
4029tv.com,8.0,True,news,3
4029tv.com,9.0,False,news,2143
4029tv.com,9.0,True,news,11
4029tv.com,10.0,False,news,3314
4029tv.com,10.0,True,news,8
4029tv.com,11.0,False,news,2756
4029tv.com,11.0,True,news,2
4029tv.com,12.0,False,news,525
4029tv.com,12.0,True,news,1
4029tv.com,13.0,False,news,82
4029tv.com,14.0,False,news,17
4029tv.com,15.0,False,news,399
4029tv.com,15.0,True,news,1
4029tv.com,16.0,False,news,431
4029tv.com,16.0,True,news,1
4029tv.com,17.0,False,news,7
4029tv.com,18.0,False,news,84
4029tv.com,19.0,False,news,58
4029tv.com,19.0,True,news,1
4029tv.com,20.0,False,news,418
4029tv.com,21.0,False,news,4
4029tv.com,22.0,False,news,36
4029tv.com,23.0,False,news,923
4029tv.com,23.0,True,news,3
4029tv.com,24.0,False,news,37
4029tv.com,25.0,False,news,374
4029tv.com,25.0,True,news,1
4029tv.com,26.0,False,news,628
4029tv.com,26.0,True,news,1
4029tv.com,27.0,False,news,23
4029tv.com,28.0,False,news,8
406mtsports.com,9.0,False,news,13
406mtsports.com,10.0,False,news,310
406mtsports.com,10.0,True,news,1
406mtsports.com,11.0,False,news,3
406mtsports.com,20.0,False,news,1
41nbc.com,5.0,False,news,47
41nbc.com,6.0,False,news,2281
41nbc.com,6.0,True,news,3
41nbc.com,7.0,False,news,1289
41nbc.com,7.0,True,news,5
41nbc.com,8.0,False,news,1257
41nbc.com,8.0,True,news,2
41nbc.com,9.0,False,news,550
41nbc.com,9.0,True,news,2
41nbc.com,10.0,False,news,205
41nbc.com,10.0,True,news,2
41nbc.com,11.0,False,news,34
41nbc.com,12.0,False,news,270
41nbc.com,13.0,False,news,199
41nbc.com,14.0,False,news,3
41nbc.com,15.0,False,news,22
5280.com,8.0,False,news,1
5280.com,12.0,False,news,19
5280.com,12.0,True,news,1
5280.com,13.0,False,news,302
5280.com,13.0,True,news,2
5280.com,14.0,False,news,426
5280.com,15.0,False,news,162
5280.com,15.0,True,news,7
5280.com,16.0,False,news,2499
