domain,serp_rank,is_home_district,counts
10tv.com,13.0,True,2
10tv.com,14.0,False,1368
10tv.com,14.0,True,4
10tv.com,15.0,False,1185
10tv.com,15.0,True,2
10tv.com,16.0,False,544
10tv.com,16.0,True,1
10tv.com,17.0,False,1556
10tv.com,17.0,True,3
10tv.com,18.0,False,1342
10tv.com,18.0,True,4
10tv.com,19.0,False,58
10tv.com,20.0,False,25
10tv.com,21.0,False,16
10tv.com,22.0,False,1680
10tv.com,22.0,True,4
10tv.com,23.0,False,562
10tv.com,23.0,True,3
10tv.com,24.0,False,47
10tv.com,25.0,False,1176
10tv.com,25.0,True,1
10tv.com,26.0,False,5
11alive.com,2.0,False,1119
11alive.com,3.0,False,3353
11alive.com,3.0,True,3
11alive.com,4.0,False,2817
11alive.com,4.0,True,7
11alive.com,5.0,False,2908
11alive.com,5.0,True,4
11alive.com,6.0,False,3653
11alive.com,6.0,True,19
11alive.com,7.0,False,11585
11alive.com,7.0,True,29
11alive.com,8.0,False,17454
11alive.com,8.0,True,47
11alive.com,9.0,False,19138
11alive.com,9.0,True,39
11alive.com,10.0,False,19696
11alive.com,10.0,True,37
11alive.com,11.0,False,5447
11alive.com,11.0,True,13
11alive.com,12.0,False,4821
11alive.com,12.0,True,11
11alive.com,13.0,False,2424
11alive.com,13.0,True,6
11alive.com,14.0,False,959
11alive.com,14.0,True,2
11alive.com,15.0,False,862
11alive.com,15.0,True,3
11alive.com,16.0,False,1327
11alive.com,16.0,True,5
11alive.com,17.0,False,985
11alive.com,17.0,True,1
11alive.com,18.0,False,657
11alive.com,18.0,True,1
11alive.com,19.0,False,39
11alive.com,19.0,True,2
11alive.com,20.0,False,5
11alive.com,22.0,False,2
11alive.com,23.0,False,1
11alive.com,24.0,False,1
11alive.com,25.0,False,69
11alive.com,26.0,False,402
11alive.com,26.0,True,1
11alive.com,27.0,False,2
11alive.com,28.0,False,1
12news.com,3.0,False,365
12news.com,3.0,True,1
12news.com,4.0,False,479
12news.com,4.0,True,1
12news.com,5.0,False,1
12news.com,6.0,False,15
12news.com,7.0,False,417
12news.com,7.0,True,1
12news.com,8.0,False,185
12news.com,8.0,True,1
12news.com,9.0,False,2081
12news.com,9.0,True,13
12news.com,10.0,False,8740
12news.com,10.0,True,13
12news.com,11.0,False,6810
12news.com,11.0,True,15
12news.com,12.0,False,822
12news.com,12.0,True,2
12news.com,13.0,False,755
12news.com,13.0,True,2
12news.com,14.0,False,1523
12news.com,14.0,True,1
12news.com,15.0,False,605
12news.com,15.0,True,3
12news.com,16.0,False,957
12news.com,16.0,True,3
12news.com,17.0,False,91
12news.com,17.0,True,1
12news.com,18.0,False,443
12news.com,18.0,True,1
12news.com,19.0,False,22
12news.com,20.0,False,219
12news.com,21.0,False,8
12news.com,22.0,False,282
12news.com,22.0,True,2
12news.com,23.0,False,10
12news.com,24.0,False,518
12news.com,25.0,False,5
12news.com,28.0,False,1
12newsnow.com,4.0,False,412
12newsnow.com,4.0,True,2
12newsnow.com,6.0,False,1513
12newsnow.com,6.0,True,3
12newsnow.com,7.0,False,65
12newsnow.com,8.0,False,554
12newsnow.com,8.0,True,1
12newsnow.com,9.0,False,1935
12newsnow.com,9.0,True,3
12newsnow.com,10.0,False,1627
12newsnow.com,10.0,True,4
12newsnow.com,11.0,False,3287
12newsnow.com,11.0,True,5
12newsnow.com,12.0,False,4867
12newsnow.com,12.0,True,8
12newsnow.com,13.0,False,159
12newsnow.com,13.0,True,1
12newsnow.com,14.0,False,594
12newsnow.com,14.0,True,2
12newsnow.com,15.0,False,741
12newsnow.com,15.0,True,7
12newsnow.com,16.0,False,1258
12newsnow.com,16.0,True,1
12newsnow.com,17.0,False,195
12newsnow.com,17.0,True,1
12newsnow.com,18.0,False,44
12newsnow.com,18.0,True,1
12newsnow.com,19.0,False,52
12newsnow.com,19.0,True,1
12newsnow.com,20.0,False,6
13abc.com,6.0,False,18
13abc.com,7.0,False,3088
13abc.com,7.0,True,6
13abc.com,8.0,False,1939
13abc.com,8.0,True,2
13abc.com,9.0,False,2566
13abc.com,9.0,True,7
13abc.com,10.0,False,1339
13abc.com,10.0,True,5
13abc.com,11.0,False,500
13abc.com,11.0,True,1
13abc.com,12.0,False,682
13abc.com,12.0,True,2
13abc.com,13.0,False,233
13abc.com,14.0,False,613
13abc.com,14.0,True,1
13abc.com,15.0,False,48
13abc.com,16.0,False,121
13abc.com,17.0,False,96
13abc.com,18.0,False,2
13abc.com,19.0,False,6
13abc.com,23.0,False,1
13newsnow.com,3.0,False,67
13newsnow.com,4.0,False,6727
13newsnow.com,4.0,True,9
13newsnow.com,5.0,False,10255
13newsnow.com,5.0,True,26
13newsnow.com,6.0,False,12212
13newsnow.com,6.0,True,29
13newsnow.com,7.0,False,4400
13newsnow.com,7.0,True,13
13newsnow.com,8.0,False,10128
13newsnow.com,8.0,True,16
13newsnow.com,9.0,False,13888
13newsnow.com,9.0,True,31
13newsnow.com,10.0,False,9261
13newsnow.com,10.0,True,21
13newsnow.com,11.0,False,7766
13newsnow.com,11.0,True,22
13newsnow.com,12.0,False,8458
13newsnow.com,12.0,True,18
13newsnow.com,13.0,False,3673
13newsnow.com,13.0,True,10
13newsnow.com,14.0,False,2390
13newsnow.com,14.0,True,6
13newsnow.com,15.0,False,1895
13newsnow.com,15.0,True,7
13newsnow.com,16.0,False,227
13newsnow.com,17.0,False,672
13newsnow.com,17.0,True,2
13newsnow.com,18.0,False,323
13newsnow.com,18.0,True,1
13newsnow.com,19.0,False,1044
13newsnow.com,19.0,True,1
13newsnow.com,20.0,False,398
13newsnow.com,20.0,True,1
13newsnow.com,21.0,False,46
13newsnow.com,21.0,True,1
13newsnow.com,22.0,False,19
13newsnow.com,23.0,False,8
13wham.com,3.0,False,392
13wham.com,3.0,True,1
13wham.com,4.0,False,276
13wham.com,4.0,True,1
13wham.com,5.0,False,679
13wham.com,5.0,True,1
13wham.com,6.0,False,3523
13wham.com,6.0,True,6
13wham.com,7.0,False,2966
13wham.com,7.0,True,8
13wham.com,8.0,False,4542
13wham.com,8.0,True,8
13wham.com,9.0,False,3037
13wham.com,9.0,True,4
13wham.com,10.0,False,10564
13wham.com,10.0,True,23
13wham.com,11.0,False,12169
13wham.com,11.0,True,28
13wham.com,12.0,False,10325
13wham.com,12.0,True,22
13wham.com,13.0,False,2622
13wham.com,13.0,True,7
13wham.com,14.0,False,1172
13wham.com,14.0,True,4
13wham.com,15.0,False,2448
13wham.com,15.0,True,6
13wham.com,16.0,False,700
13wham.com,16.0,True,1
13wham.com,17.0,False,126
13wham.com,18.0,False,161
13wham.com,19.0,False,9
13wham.com,20.0,False,70
13wham.com,21.0,False,428
13wham.com,22.0,False,171
13wham.com,23.0,False,3
13wham.com,24.0,False,168
13wham.com,24.0,True,2
13wham.com,25.0,False,6
13wham.com,27.0,False,2
13wmaz.com,2.0,False,12
13wmaz.com,3.0,False,573
13wmaz.com,3.0,True,1
13wmaz.com,4.0,False,3
13wmaz.com,6.0,False,62
13wmaz.com,6.0,True,1
13wmaz.com,7.0,False,7
13wmaz.com,8.0,False,194
13wmaz.com,9.0,False,3703
13wmaz.com,9.0,True,4
13wmaz.com,10.0,False,1479
13wmaz.com,10.0,True,4
13wmaz.com,11.0,False,955
13wmaz.com,11.0,True,2
13wmaz.com,12.0,False,225
13wmaz.com,12.0,True,3
