domain,dem_prop,rep_prop
abovethelaw.com,0.0,6.798083447650618e-07
abqjournal.com,0.0002784982415838499,6.660594119495886e-06
academyhealth.org,0.0,7.15555570085292e-05
acadialending.com,0.0,1.6804251218911638e-07
acainternational.org,0.0,0.00020073441910590812
acceptthisrose.com,0.0,3.1087864754986533e-06
accountingtoday.com,5.4320496059867406e-05,0.0
acrofan.com,0.0,1.52765920171924e-08
actiac.org,2.6064548482135455e-05,0.0
actionnewsjax.com,0.00023502159811387708,0.0001760474464061252
actionnewsnow.com,2.7392488694956157e-07,0.00013334937171807245
adamschiff.com,0.0003304844212157993,0.0
adamsmith.org,0.0004469084530582097,0.0
adamsmithworks.org,1.887699764413283e-06,0.0
aderholtforcongress.org,0.0,0.0003354510458095193
adirondackdailyenterprise.com,0.0,0.00011240516406250167
adirondackexplorer.org,1.917474208646931e-05,0.0
adn.com,3.044139178448171e-05,0.0003689831652872566
adparchitects.com,4.168422192710719e-08,0.0
adrianoespaillat.com,0.0002830477766627513,0.0
advantagenews.com,0.0,9.227825407985069e-05
advertisernewssouth.com,1.2058649914627438e-05,0.0
advocate.com,5.984663290963247e-06,3.032403515412691e-06
advocateanddemocrat.com,0.0,3.71755866738377e-05
af.mil,2.8583466464302076e-07,0.0
aflcio.org,4.168422192710719e-08,1.4741911296590665e-06
afro.com,2.417684871772217e-06,0.0
agnetwest.com,7.640122390354075e-06,3.7610969546327684e-05
agri-pulse.com,0.0002655999523418336,0.00019959631300062728
agriculture.com,4.0731439711630456e-05,0.0
agrinews-pubs.com,0.0,4.902258378317041e-05
agweek.com,2.0580095854297494e-05,7.6382960085962e-09
aikenstandard.com,0.0,4.061281987770599e-05
ainonline.com,5.6726271153946165e-05,0.0
aip.org,1.0039942595586104e-05,0.0
airforcemag.com,0.0,0.00014136194423108986
airforcetimes.com,3.4484761311411106e-05,9.196508394349823e-06
airlinegeeks.com,7.401926836484891e-06,0.0
ajc.com,0.0004360407809129282,0.0008615615982896083
ajot.com,0.0,9.367606224942378e-05
akronnewsreporter.com,0.0,4.205645782333068e-05
al-monitor.com,6.682576263799956e-05,0.0
al.com,1.5572034334197902e-05,0.0005035699409587217
alabamanews.net,1.2582680133139643e-05,3.1928077315932114e-06
alaina2020.com,0.0,7.190691862492462e-05
alamogordonews.com,2.596331537174105e-06,0.0
alanlowenthal.com,7.194696704618702e-05,0.0
alaska-native-news.com,0.0,3.1317013635244417e-07
alaskansfordonyoung.com,0.0,0.0003587325720437205
alaskapublic.org,0.0,7.639059838197059e-05
alaskasnewssource.com,0.0,7.6382960085962e-09
albanyherald.com,0.00015301086891671706,5.151266828197277e-05
albertleatribune.com,0.0,2.2762122105616674e-05
albiosiresnj.com,0.00010202511061101823,0.0
alceeforcongress.com,0.00028579893530994037,0.0
aldianews.com,0.00019839903170649006,0.0
alec.org,0.0,6.568934567392732e-07
aledotimesrecord.com,0.0,1.3321188238991772e-05
alestlelive.com,0.0,0.00011151148342949592
alexandriagazette.com,6.470582220856382e-05,0.0
alexandrialivingmagazine.com,2.810707535656371e-05,0.0
alexcityoutlook.com,0.0,1.3748932815473158e-07
algemeiner.com,9.051431047028991e-07,0.0
alhambrasource.org,1.9680907638441325e-05,0.0
alicetx.com,0.0,1.581891103380273e-05
aljazeera.com,0.00011914541604536581,6.691147303530271e-06
allawson.com,0.00028035616690402955,0.0
allhiphop.com,1.1909777693459199e-08,0.0
allmusic.com,0.000286269371528832,0.0
allongeorgia.com,0.0,3.414318315842501e-05
allotsego.com,1.1850228804991903e-06,0.0
allstate.com,0.0,7.485530088424275e-07
almaadamsforcongress.com,0.0003808270515260513,0.0
almanacnews.com,5.19266307434821e-06,0.0
alreporter.com,0.00030805235493016887,0.002243650154677022
