url,title,path,qry
https://www.facebook.com/repgaramendi/posts,Congressman John Garamendi - Posts | Facebook,repgaramendi,John Garamendi
https://www.facebook.com/sendarrensoto,Darren Soto | Facebook,sendarrensoto,Darren Soto
https://www.facebook.com/DrNealDunnFL2/,"Congressman Neal Dunn, M.D. - Home | Facebook",DrNealDunnFL2,Neal Dunn
https://www.facebook.com/repgracemeng,Grace Meng - Home | Facebook,repgracemeng,Grace Meng
https://www.facebook.com/CongressmanClayMO1/,Congressman Wm. Lacy Clay - Home | Facebook,CongressmanClayMO1,Lacy Clay
https://www.facebook.com/Representative.Martha.Roby/,Representative Martha Roby - Home | Facebook,Representative.Martha.Roby,Martha Roby
https://www.facebook.com/RepSusanDavis/,Congresswoman Susan Davis - Home | Facebook,RepSusanDavis,Susan Davis
https://www.facebook.com/CongressmanSteveWatkins/,Congressman Steve Watkins - Home | Facebook,CongressmanSteveWatkins,Steve Watkins
https://www.facebook.com/BlaineLuetkemeyer/,Blaine Luetkemeyer - Home | Facebook,BlaineLuetkemeyer,Blaine Luetkemeyer
https://www.facebook.com/KathyCastor/,Kathy Castor - Home | Facebook,KathyCastor,Kathy Castor
https://www.facebook.com/donaldmceachinva/,,donaldmceachinva,Donald McEachin
https://www.facebook.com/RepKClark/,Congresswoman Katherine Clark - Home | Facebook,RepKClark,Katherine Clark
https://www.facebook.com/Michael-Quigley-Plumbing-Heating-126768367376430/,Michael Quigley Plumbing & Heating,Michael-Quigley-Plumbing-Heating-126768367376430,Mike Quigley
https://www.facebook.com/repseanmaloney/posts/proud-to-have-my-amazing-family-here-to-celebrate-this-historic-day/2259734694039340/,,repseanmaloney,Sean Patrick Maloney
https://www.facebook.com/VoteEdCase/,,VoteEdCase,Ed Case
https://www.facebook.com/JaredGoldenforCongress/,Jared Golden - Home | Facebook,JaredGoldenforCongress,Jared Golden
https://www.facebook.com/RepBrianFitzpatrick/,Congressman Brian Fitzpatrick - Home | Facebook,RepBrianFitzpatrick,Brian Fitzpatrick
https://www.facebook.com/electadam/,Adam Kinzinger - Home | Facebook,electadam,Adam Kinzinger
https://www.facebook.com/RepTorresSmall/videos/you-will-start-to-receive-mail-from-the-us-census-bureau-today-with-information-/1744234122400634/,You will start to receive mail from the... - Representative ...,RepTorresSmall,Xochitl Torres Small
https://www.facebook.com/CongressmanClayHiggins/videos/higgins-were-not-going-to-take-it-anymore/500711663953967/,Higgins: We're Not Going to Take It Anymore,CongressmanClayHiggins,Clay Higgins
https://www.facebook.com/CheneyLiz/,Liz Cheney - Home | Facebook,CheneyLiz,Liz Cheney
https://www.facebook.com/CongressmanMikeDRogers/,,CongressmanMikeDRogers,Mike Rogers
https://www.facebook.com/HarleyforCongress/,Harley Rouda - Home | Facebook,HarleyforCongress,Harley Rouda
https://www.facebook.com/CongressmanComer/posts,,CongressmanComer,James Comer
https://www.facebook.com/KevinBrady,Rep. Kevin Brady - Home | Facebook,KevinBrady,Kevin Brady
https://www.facebook.com/RepTorresSmall/,Representative Xochitl Torres Small - Home | Facebook,RepTorresSmall,Xochitl Torres Small
https://www.facebook.com/ElectDavidScott/,David Scott for Congress - Home | Facebook,ElectDavidScott,David Scott
