url,title,text,path,qry
https://www.youtube.com/watch?v=2ygz1pWFgAo,The Astronaut Farmer | A Conversation with David Scott ...,Warner Bros. Entertainment,watch,David Scott
https://www.youtube.com/watch?v=ox5Sjm7J-Hs,WATCH: White House chief of staff Mark Meadows speaks ...,PBS NewsHour,watch,Mark Meadows
https://www.youtube.com/watch?v=6nS8QJNjy3M,U.S. Rep. Greg Gianforte on Montana This Morning 12-9-19,KTVQ News,watch,Greg Gianforte
https://www.youtube.com/watch?v=SOu5UDl2AM0,Rep. Jim Jordan gets personal at 2020 RNC,ABC News,watch,Jim Jordan
https://www.youtube.com/watch?v=nDjFQw7Yfyk,"Sean Casten, Jeanne Ives debate on WGN",WGN News,watch,Sean Casten
https://www.youtube.com/watch?v=-cYqY_nrJqY,The Promise of Peace - Bill Johnson (Full Sermon ... - YouTube,,watch,Bill Johnson
https://m.youtube.com/watch?v=QB1qOjSHTqI,,,watch,Rob Woodall
https://www.youtube.com/watch?v=bEoLOSOt3FI,White House chief of staff Mark Meadows on accepting ...,CBS This Morning,watch,Mark Meadows
https://www.youtube.com/watch?v=KGFblpsDNMw,WATCH LIVE: Minority Leader Kevin McCarthy holds weekly ...,PBS NewsHour,watch,Kevin McCarthy
https://www.youtube.com/watch?v=eaw-9yocjk0,This PROVES How DESPERATE Democrats Are Getting | Rep ...,Huckabee,watch,Kevin McCarthy
https://www.youtube.com/watch?v=IoX_xNmBS4A,Rep. Chip Roy (R-TX) Walks Out of House Oversight Hearing ...,C-SPAN,watch,Chip Roy
https://www.youtube.com/watch?v=dWBi6qBpZFo,First Song I Learned on Guitar: Adrian Smith,JacksonGuitarsUSA,watch,Adrian Smith
https://www.youtube.com/watch?v=8iWeZQADfTM,"Rep. Maxine Waters says ""Keep Your A** At Home!""",theGrio,watch,Maxine Waters
https://www.youtube.com/watch?v=2oaCTF3v_to,Rep. Louie Gohmert tests positive for Covid-19,CNN,watch,Louie Gohmert
https://www.youtube.com/watch?v=UxxyWybQ5Dc,,,watch,Bill Keating
https://www.youtube.com/watch?v=jBTaRKH7bzQ,Nancy Pelosi Says Hair Salon Video Was a Setup,Bloomberg QuickTake News,watch,Nancy Pelosi
https://www.youtube.com/watch?v=kLcuEaIfwe0,"""Not Untruthful...Incompetent"" - Rep. Katie Porter On Trump ...",The Late Show with Stephen...,watch,Katie Porter
https://www.youtube.com/watch?v=v4PYRN-Ti3A,"Fireworks between Sen. Ed Markey, Rep. Joe Kennedy III ...",WCVB Channel 5 Boston,watch,Joe Kennedy III
https://www.youtube.com/watch?v=aHwtih-Vzkc,Adrian Smith talks 'Monsters Of River & Rock',Iron Maiden,watch,Adrian Smith
https://www.youtube.com/watch?v=so7f2uDLlmw,WATCH: Rep. Kevin McCarthy's full speech at the Republican ...,PBS NewsHour,watch,Kevin McCarthy
https://www.youtube.com/watch?v=12Whp7Ex_-Q,"Rep. French Hill: ""This legislation divides us more than it ...",Congressman French Hill,watch,French Hill
https://www.youtube.com/watch?v=SvyUXBol_9c,Two Brothers Alone in the Wilderness - E.5 - the Retreat ...,Jim Baird - Adventurer,watch,Jim Baird
https://www.youtube.com/watch?v=uk8wjwV_Cww,,,watch,Marc Veasey
https://www.youtube.com/watch?v=mz7-y8ALhf4,,,watch,Anthony Gonzalez
