"location","hits","keyword","geo","gprop"
"Indiana",12,"Mike Rogers","US","web"
"New York",11,"Mike Rogers","US","web"
"Alaska",NA,"Mike Rogers","US","web"
"New Hampshire",NA,"Mike Rogers","US","web"
"Nebraska",NA,"Mike Rogers","US","web"
"New Mexico",NA,"Mike Rogers","US","web"
"Nevada",NA,"Mike Rogers","US","web"
"North Dakota",NA,"Mike Rogers","US","web"
"Montana",NA,"Mike Rogers","US","web"
"Mississippi",NA,"Mike Rogers","US","web"
"Oregon",NA,"Mike Rogers","US","web"
"Maine",NA,"Mike Rogers","US","web"
"Rhode Island",NA,"Mike Rogers","US","web"
"Louisiana",NA,"Mike Rogers","US","web"
"South Dakota",NA,"Mike Rogers","US","web"
"Idaho",NA,"Mike Rogers","US","web"
"Iowa",NA,"Mike Rogers","US","web"
"Utah",NA,"Mike Rogers","US","web"
"Hawaii",NA,"Mike Rogers","US","web"
"Vermont",NA,"Mike Rogers","US","web"
"Delaware",NA,"Mike Rogers","US","web"
"Connecticut",NA,"Mike Rogers","US","web"
"West Virginia",NA,"Mike Rogers","US","web"
"Wyoming",NA,"Mike Rogers","US","web"
"Alabama",100,"Mo Brooks","US","web"
"Missouri",75,"Mo Brooks","US","web"
"District of Columbia",45,"Mo Brooks","US","web"
"West Virginia",25,"Mo Brooks","US","web"
"South Dakota",24,"Mo Brooks","US","web"
"Delaware",21,"Mo Brooks","US","web"
"Kansas",19,"Mo Brooks","US","web"
"Maryland",15,"Mo Brooks","US","web"
"Maine",15,"Mo Brooks","US","web"
"Tennessee",13,"Mo Brooks","US","web"
"Idaho",13,"Mo Brooks","US","web"
"Georgia",13,"Mo Brooks","US","web"
"Virginia",13,"Mo Brooks","US","web"
"South Carolina",13,"Mo Brooks","US","web"
"Arkansas",12,"Mo Brooks","US","web"
"Minnesota",12,"Mo Brooks","US","web"
"Louisiana",12,"Mo Brooks","US","web"
"Arizona",12,"Mo Brooks","US","web"
"Massachusetts",12,"Mo Brooks","US","web"
"New Jersey",12,"Mo Brooks","US","web"
"Illinois",12,"Mo Brooks","US","web"
"North Carolina",12,"Mo Brooks","US","web"
