"qry","qry_clean","governor","congress","candidate","state","district","party","chamber","date_started_position","full_term","relevance_score","in_data","house_analysis_include"
"Don Young","Don Young",FALSE,TRUE,FALSE,"AK",0,"Republican","Rep","5-Dec-17",1,6,1,1
"Bradley Byrne","Bradley Byrne",FALSE,TRUE,FALSE,"AL",1,"Republican","Rep","8-Jan-14",1,5,1,1
"Martha Roby","Martha Roby",FALSE,TRUE,FALSE,"AL",2,"Republican","Rep","3-Jan-11",1,6,1,1
"Mike Rogers","Mike Rogers",FALSE,TRUE,FALSE,"AL",3,"Republican","Rep","3-Jan-03",1,6,1,1
"Robert Aderholt","Robert Aderholt",FALSE,TRUE,FALSE,"AL",4,"Republican","Rep","3-Jan-97",1,5,1,1
"Mo Brooks","Mo Brooks",FALSE,TRUE,FALSE,"AL",5,"Republican","Rep","3-Jan-11",1,6,1,1
"Gary Palmer","Gary Palmer",FALSE,TRUE,FALSE,"AL",6,"Republican","Rep","3-Jan-15",1,5,1,1
"Terri Sewell","Terri Sewell",FALSE,TRUE,FALSE,"AL",7,"Democrat","Rep","3-Jan-11",1,6,1,1
"Rick Crawford","Rick Crawford",FALSE,TRUE,FALSE,"AR",1,"Republican","Rep","3-Jan-11",1,5,1,1
"French Hill","French Hill",FALSE,TRUE,FALSE,"AR",2,"Republican","Rep","3-Jan-15",1,6,1,1
"Steve Womack","Steve Womack",FALSE,TRUE,FALSE,"AR",3,"Republican","Rep","3-Jan-11",1,6,1,1
"Bruce Westerman","Bruce Westerman",FALSE,TRUE,FALSE,"AR",4,"Republican","Rep","3-Jan-15",1,6,1,1
"Amata Coleman Radewagen","Amata Coleman Radewagen",FALSE,TRUE,FALSE,"AS",0,"Republican","Rep","3-Jan-15",1,6,1,0
"Tom O'Halleran","Tom O'Halleran",FALSE,TRUE,FALSE,"AZ",1,"Democrat","Rep","3-Jan-17",1,6,1,1
"Ann Kirkpatrick","Ann Kirkpatrick",FALSE,TRUE,FALSE,"AZ",2,"Democrat","Rep","3-Jan-19",1,6,1,1
"Raúl Grijalva","Raul Grijalva",FALSE,TRUE,FALSE,"AZ",3,"Democrat","Rep","3-Jan-03",1,6,1,1
"Paul Gosar","Paul Gosar",FALSE,TRUE,FALSE,"AZ",4,"Republican","Rep","3-Jan-11",1,6,1,1
"Andy Biggs","Andy Biggs",FALSE,TRUE,FALSE,"AZ",5,"Republican","Rep","3-Jan-17",1,6,1,1
"David Schweikert","David Schweikert",FALSE,TRUE,FALSE,"AZ",6,"Republican","Rep","3-Jan-13",1,6,1,1
"Ruben Gallego","Ruben Gallego",FALSE,TRUE,FALSE,"AZ",7,"Democrat","Rep","3-Jan-15",1,5,1,1
"Debbie Lesko","Debbie Lesko",FALSE,TRUE,FALSE,"AZ",8,"Republican","Rep","7-May-18",1,6,1,1
"Greg Stanton","Greg Stanton",FALSE,TRUE,FALSE,"AZ",9,"Democrat","Rep","3-Jan-19",1,6,1,1
"Doug LaMalfa","Doug LaMalfa",FALSE,TRUE,FALSE,"CA",1,"Republican","Rep","3-Jan-13",1,6,1,1
"Jared Huffman","Jared Huffman",FALSE,TRUE,FALSE,"CA",2,"Democrat","Rep","3-Jan-13",1,6,1,1
"John Garamendi","John Garamendi",FALSE,TRUE,FALSE,"CA",3,"Democrat","Rep","3-Nov-09",1,6,1,1
"Tom McClintock","Tom McClintock",FALSE,TRUE,FALSE,"CA",4,"Republican","Rep","3-Jan-09",1,6,1,1
"Mike Thompson","Mike Thompson",FALSE,TRUE,FALSE,"CA",5,"Democrat","Rep","3-Jan-99",1,4,1,1
"Doris Matsui","Doris Matsui",FALSE,TRUE,FALSE,"CA",6,"Democrat","Rep","10-Mar-05",1,6,1,1
"Ami Bera","Ami Bera",FALSE,TRUE,FALSE,"CA",7,"Democrat","Rep","3-Jan-13",1,6,1,1
"Paul Cook","Paul Cook",FALSE,TRUE,FALSE,"CA",8,"Republican","Rep","3-Jan-13",0,4,1,1
"Jerry McNerney","Jerry McNerney",FALSE,TRUE,FALSE,"CA",9,"Democrat","Rep","3-Jan-07",1,6,1,1
"Josh Harder","Josh Harder",FALSE,TRUE,FALSE,"CA",10,"Democrat","Rep","3-Jan-19",1,6,1,1
"Mark DeSaulnier","Mark DeSaulnier",FALSE,TRUE,FALSE,"CA",11,"Democrat","Rep","3-Jan-15",1,6,1,1
"Nancy Pelosi","Nancy Pelosi",FALSE,TRUE,FALSE,"CA",12,"Democrat","Rep","2-Jun-87",1,6,1,1
"Barbara Lee","Barbara Lee",FALSE,TRUE,FALSE,"CA",13,"Democrat","Rep","21-Apr-98",1,6,1,1
"Jackie Speier","Jackie Speier",FALSE,TRUE,FALSE,"CA",14,"Democrat","Rep","3-Jan-13",1,6,1,1
"Eric Swalwell","Eric Swalwell",FALSE,TRUE,TRUE,"CA",15,"Democrat","Rep","3-Jan-13",1,6,1,1
"Jim Costa","Jim Costa",FALSE,TRUE,FALSE,"CA",16,"Democrat","Rep","3-Jan-05",1,6,1,1
"Ro Khanna","Ro Khanna",FALSE,TRUE,FALSE,"CA",17,"Democrat","Rep","3-Jan-17",1,6,1,1
"Anna Eshoo","Anna Eshoo",FALSE,TRUE,FALSE,"CA",18,"Democrat","Rep","3-Jan-13",1,6,1,1
"Zoe Lofgren","Zoe Lofgren",FALSE,TRUE,FALSE,"CA",19,"Democrat","Rep","3-Jan-95",1,6,1,1
"Jimmy Panetta","Jimmy Panetta",FALSE,TRUE,FALSE,"CA",20,"Democrat","Rep","3-Jan-17",1,6,1,1
"TJ Cox","TJ Cox",FALSE,TRUE,FALSE,"CA",21,"Democrat","Rep","3-Jan-19",1,6,1,1
"Devin Nunes","Devin Nunes",FALSE,TRUE,FALSE,"CA",22,"Republican","Rep","3-Jan-03",1,6,1,1
"Kevin McCarthy","Kevin McCarthy",FALSE,TRUE,FALSE,"CA",23,"Republican","Rep","3-Jan-07",1,6,1,1
"Salud Carbajal","Salud Carbajal",FALSE,TRUE,FALSE,"CA",24,"Democrat","Rep","3-Jan-17",1,6,1,1
"Katie Hill","Katie Hill",FALSE,TRUE,FALSE,"CA",25,"Democrat","Rep","3-Jan-19",0,NA,0,NA
"Mike Garcia","Mike Garcia",FALSE,TRUE,FALSE,"CA",25,"Republican","Rep","12-May-20",0,NA,0,NA
"Julia Brownley","Julia Brownley",FALSE,TRUE,FALSE,"CA",26,"Democrat","Rep","3-Jan-13",1,6,1,1
"Judy Chu","Judy Chu",FALSE,TRUE,FALSE,"CA",27,"Democrat","Rep","14-Jul-09",1,6,1,1
"Adam Schiff","Adam Schiff",FALSE,TRUE,FALSE,"CA",28,"Democrat","Rep","3-Jan-01",1,5,1,1
"Tony Cárdenas","Tony Cardenas",FALSE,TRUE,FALSE,"CA",29,"Democrat","Rep","3-Jan-13",1,6,1,1
"Brad Sherman","Brad Sherman",FALSE,TRUE,FALSE,"CA",30,"Democrat","Rep","3-Jan-97",1,6,1,1
"Pete Aguilar","Pete Aguilar",FALSE,TRUE,FALSE,"CA",31,"Democrat","Rep","3-Jan-15",1,6,1,1
"Grace Napolitano","Grace Napolitano",FALSE,TRUE,FALSE,"CA",32,"Democrat","Rep","3-Jan-99",1,6,1,1
"Ted Lieu","Ted Lieu",FALSE,TRUE,FALSE,"CA",33,"Democrat","Rep","3-Jan-15",1,6,1,1
"Jimmy Gomez","Jimmy Gomez",FALSE,TRUE,FALSE,"CA",34,"Democrat","Rep","11-Jul-17",1,6,1,1
"Norma Torres","Norma Torres",FALSE,TRUE,FALSE,"CA",35,"Democrat","Rep","3-Jan-15",1,5,1,1
"Raul Ruiz","Raul Ruiz",FALSE,TRUE,FALSE,"CA",36,"Democrat","Rep","3-Jan-13",1,5,1,1
"Karen Bass","Karen Bass",FALSE,TRUE,FALSE,"CA",37,"Democrat","Rep","3-Jan-11",1,6,1,1
"Linda Sánchez","Linda Sanchez",FALSE,TRUE,FALSE,"CA",38,"Democrat","Rep","3-Jan-03",1,6,1,1
"Gil Cisneros","Gil Cisneros",FALSE,TRUE,FALSE,"CA",39,"Democrat","Rep","3-Jan-19",1,6,1,1
"Lucille Roybal-Allard","Lucille Roybal-Allard",FALSE,TRUE,FALSE,"CA",40,"Democrat","Rep","3-Jan-93",1,6,1,1
"Mark Takano","Mark Takano",FALSE,TRUE,FALSE,"CA",41,"Democrat","Rep","3-Jan-13",1,6,1,1
"Ken Calvert","Ken Calvert",FALSE,TRUE,FALSE,"CA",42,"Republican","Rep","3-Jan-13",1,6,1,1
"Maxine Waters","Maxine Waters",FALSE,TRUE,FALSE,"CA",43,"Democrat","Rep","3-Jan-91",1,6,1,1
"Nanette Barragán","Nanette Barragan",FALSE,TRUE,FALSE,"CA",44,"Democrat","Rep","3-Jan-17",1,6,1,1
"Katie Porter","Katie Porter",FALSE,TRUE,FALSE,"CA",45,"Democrat","Rep","3-Jan-19",1,5,1,1
"Lou Correa","Lou Correa",FALSE,TRUE,FALSE,"CA",46,"Democrat","Rep","3-Jan-17",1,6,1,1
"Alan Lowenthal","Alan Lowenthal",FALSE,TRUE,FALSE,"CA",47,"Democrat","Rep","3-Jan-13",1,6,1,1
