domain,category
andrecarson.com,campaign_personal
tedlieu.com,campaign_personal
utm.edu,news
bradsherman.com,campaign_personal
kansansformarshall.com,campaign_personal
debbiedingellforcongress.com,campaign_personal
russfulcher.com,campaign_personal
jimhagedorn.org,campaign_personal
katherineclark.org,campaign_personal
davidschweikert.com,campaign_personal
midhudsonnews.com,news
andyharris.com,campaign_personal
michaelguest.ms,campaign_personal
drraulruiz.com,campaign_personal
brianfitzpatrick.com,campaign_personal
majoritywhip.gov,gov
buckforcolorado.com,campaign_personal
mastforcongress.com,campaign_personal
robwittman.com,campaign_personal
wtkr.com,news
bobbyrushbluesman.com,campaign_personal
walbergforcongress.com,campaign_personal
marcveasey.com,campaign_personal
glenngrothman.com,campaign_personal
baldersonforcongress.com,campaign_personal
barraganforcongress.com,campaign_personal
kusterforcongress.com,campaign_personal
billposey.com,other_third_party
tommcclintock.com,campaign_personal
electfrench.com,campaign_personal
votejaime.com,campaign_personal
emmerforcongress.com,campaign_personal
kurtschrader.com,campaign_personal
greenvilleonline.com,news
beraforcongress.com,campaign_personal
gregpenceforcongress.com,campaign_personal
annaeshoo4congress.com,campaign_personal
zeldinforcongress.com,campaign_personal
ronkind.org,campaign_personal
tedbudd.com,campaign_personal
randyweber.org,campaign_personal
mikiesherrill.com,campaign_personal
loritrahan.com,campaign_personal
johnsarbanes.com,campaign_personal
dennyheck.com,campaign_personal
votedanbishop.com,campaign_personal
blaineforcongress.com,campaign_personal
saludcarbajal.com,campaign_personal
darrensoto.com,campaign_personal
zoelofgren.com,campaign_personal
rosadelauro.com,campaign_personal
elissaforcongress.com,campaign_personal
vicentegonzalez.com,campaign_personal
henrycuellar.com,campaign_personal
degette.com,campaign_personal
castorforcongress.com,campaign_personal
haleystevensforcongress.com,campaign_personal
jodeyarrington.com,campaign_personal
stephenflynch.com,campaign_personal
rickwallen.com,campaign_personal
prescottenews.com,news
murphy4congress.com,campaign_personal
debforcongress.com,campaign_personal
tomreedforcongress.com,campaign_personal
brendalawrence.com,campaign_personal
ricklarsen.org,campaign_personal
scanlonforcongress.com,campaign_personal
billylongforcongress.com,campaign_personal
tedforcongress.com,campaign_personal
cheribustos.com,campaign_personal
standwithjackie.com,campaign_personal
desaulnierforcongress.com,campaign_personal
voteforlinda.com,campaign_personal
usabrad.com,campaign_personal
tomohalleran.com,campaign_personal
jaredhuffman.com,campaign_personal
adrianoespaillat.com,campaign_personal
rajaforcongress.com,campaign_personal
votefortrey.com,campaign_personal
vantaylor.com,campaign_personal
tonycardenasforcongress.com,campaign_personal
judychu.org,campaign_personal
mccollumforcongress.com,campaign_personal
davidrouzer.com,campaign_personal
timryanforcongress.com,campaign_personal
perlmutterforcolorado.com,campaign_personal
gravesforcongress.com,campaign_personal
huizengaforcongress.com,campaign_personal
stanford.edu,education
votemorelle.com,campaign_personal
valdemings.com,campaign_personal
cqrcengage.com,other_third_party
thomasmassie.com,campaign_personal
stevechabot.com,campaign_personal
johnkatkoforcongress.com,campaign_personal
michiganradio.org,news
meuserforcongress.com,campaign_personal
electgregsteube.com,campaign_personal
seanmaloney.com,campaign_personal
dougforgeorgia.com,campaign_personal
dutchforcongress.com,campaign_personal
mikedoyleforcongress.com,campaign_personal
viscloskyforcongress.us,campaign_personal
himesforcongress.com,campaign_personal
abc7ny.com,news
bobbyscottforcongress.com,campaign_personal
welchforcongress.com,campaign_personal
markgreentn.com,campaign_personal
rokhanna.com,campaign_personal
delgadoforcongress.com,campaign_personal
peteaguilar.com,campaign_personal
schneiderforcongress.com,campaign_personal
rashidaforcongress.com,campaign_personal
voteyvette.com,campaign_personal
abbyfinkenauer.com,campaign_personal
matsuiforcongress.com,campaign_personal
gerryconnolly.com,campaign_personal
delbeneforcongress.com,campaign_personal
hankforcongress.com,campaign_personal
sethmoulton.com,campaign_personal
mikekellyforcongress.com,campaign_personal
douglamalfa.com,campaign_personal
azfamily.com,news
electrodney.com,campaign_personal
harleyforcongress.com,campaign_personal
bryansteil.com,campaign_personal
mad4pa.com,campaign_personal
gracefornewyork.com,campaign_personal
floridaphoenix.com,news
benraylujan.com,campaign_personal
charliecrist.com,campaign_personal
angiecraig.com,campaign_personal
johnjoyceforcongress.com,campaign_personal
cheneyforwyoming.com,campaign_personal
jackiespeier.org,campaign_personal
earlblumenauer.com,campaign_personal
keatingforcongress.com,campaign_personal
cloudforcongress.com,campaign_personal
juliabrownley.com,campaign_personal
gregformontana.com,campaign_personal
cooperforcongress.com,campaign_personal
dustyjohnson.com,campaign_personal
conorlamb.com,campaign_personal
allawson.com,campaign_personal
fredupton.com,education
edcase.com,campaign_personal
noaa.gov,gov
donnashalala.com,campaign_personal
votetimmons.com,campaign_personal
loebsackforcongress.org,campaign_personal
standard.net,news
guyforpa.com,campaign_personal
ericswalwell.com,campaign_personal
voteanthonygonzalez.com,campaign_personal
devinnunes.com,campaign_personal
alaskansfordonyoung.com,campaign_personal
petestauberforcongress.com,campaign_personal
garamendi.org,campaign_personal
johnmoolenaarforcongress.com,campaign_personal
benmcadams.com,campaign_personal
stevenhorsford.com,campaign_personal
kirkpatrickforcongress.com,campaign_personal
davidtrone.com,campaign_personal
martharoby.com,campaign_personal
jaredgoldenforcongress.com,campaign_personal
malinowskifornj.com,campaign_personal
annwagner.com,campaign_personal
chrissyhoulahanforcongress.com,campaign_personal
robinkellyforcongress.org,campaign_personal
debbiewassermanschultz.com,campaign_personal
harderforcongress.com,campaign_personal
armstrongnd.com,campaign_personal
hakeemjeffries.com,campaign_personal
debbieleskoforcongress.com,campaign_personal
cheddar.com,news
wset.com,news
bergmanforcongress.com,campaign_personal
mikelevin.org,campaign_personal
abigailspanberger.com,campaign_personal
elaineforcongress.com,campaign_personal
beattyforcongress.com,campaign_personal
debbiemucarselpowell.com,campaign_personal
mikejohnsonforlouisiana.com,campaign_personal
josh4congress.com,campaign_personal
tomcoleforcongress.com,campaign_personal
ayannapressley.com,campaign_personal
brucewesterman.com,campaign_personal
dannewhouse.com,campaign_personal
cindyaxneforcongress.com,campaign_personal
loisfrankelforcongress.com,campaign_personal
stlamerican.com,news
jimjordanforcongress.com,campaign_personal
wcvb.com,news
drkimschrier.com,campaign_personal
fox40.com,news
veronicaescobar.com,campaign_personal
jimcosta.com,campaign_personal
biggsforcongress.com,campaign_personal
reason.com,news
scottpeters.com,campaign_personal
rfdtv.com,news
sheilajacksonlee18.com,campaign_personal
kathleenrice.com,campaign_personal
vandrewforcongress.com,campaign_personal
pressdemocrat.com,news
andybarrforcongress.com,campaign_personal
davidsonforcongress.com,campaign_personal
chiproy.com,campaign_personal
lancegooden.com,campaign_personal
bjm.org,other_third_party
dailypress.com,news
lipinskiforcongress.com,campaign_personal
econlib.org,other_third_party
derekkilmer.com,campaign_personal
wmtw.com,news
tjcoxforcongress.com,campaign_personal
abcnews4.com,news
independent.co.uk,news
bilirakisforcongress.com,campaign_personal
farmanddairy.com,news
hernforcongress.com,campaign_personal
denverforcongress.com,campaign_personal
votetipton.com,campaign_personal
hurdforcongress.com,campaign_personal
newscentermaine.com,news
ctpost.com,news
mullinforcongress.com,campaign_personal
953mnc.com,news
wptv.com,news
mynorthwest.com,news
wavy.com,news
abqjournal.com,news
nbcmiami.com,news
fcw.com,news
miami.edu,education
wjct.org,news
votevargas.com,campaign_personal
asmdc.org,other_third_party
higginsforcongress.com,campaign_personal
estesforcongress.com,campaign_personal
katu.com,news
quigleyforcongress.com,campaign_personal
khq.com,news
yallpolitics.com,other_third_party
supportfort.com,campaign_personal
mooneyforcongress.com,campaign_personal
hudsonreporter.com,news
stevescalise.com,campaign_personal
fox10phoenix.com,news
kalb.com,news
aderholtforcongress.org,campaign_personal
boston.gov,gov
dailyjournal.net,news
chronline.com,news
click2houston.com,news
pramilaforcongress.com,campaign_personal
linkedin.com,social
jamescomer.com,campaign_personal
news8000.com,news
marcialfudge.com,campaign_personal
qns.com,news
13wham.com,news
fox17online.com,news
wmcactionnews5.com,news
insidehighered.com,news
missourinet.com,news
fox13memphis.com,news
virginiamercury.com,news
petoskeynews.com,news
spacenews.com,news
10tv.com,news
mikethompson.com,campaign_personal
southbendtribune.com,news
amashforcongress.com,campaign_personal
kvue.com,news
billpascrell.com,other_third_party
capitalgazette.com,news
kstp.com,news
capecod.com,other_third_party
whittierdailynews.com,news
timesuniononline.com,news
abc13.com,news
newyorker.com,news
desertsun.com,news
ocasiocortez.com,campaign_personal
eagletribune.com,news
foxcarolina.com,news
kait8.com,news
wndu.com,news
katv.com,news
fergusonforgeorgia.com,campaign_personal
kaygranger.com,campaign_personal
krdo.com,news
khou.com,news
journalnow.com,news
wbaltv.com,news
kqed.org,news
mobrooksforcongress.com,campaign_personal
imdb.com,other_third_party
wkrn.com,news
readsludge.com,campaign_personal
theatlantic.com,news
wtok.com,news
wgbh.org,news
joinadrian.com,campaign_personal
manisteenews.com,news
kendrahorn.com,campaign_personal
malegislature.gov,gov
local12.com,news
johnrutherfordforcongress.com,campaign_personal
federalnewsnetwork.com,news
readingeagle.com,news
yourdailyjournal.com,news
baseball-almanac.com,other_third_party
waff.com,news
wave3.com,news
votedoggett.com,campaign_personal
townandcountrymag.com,news
westword.com,news
andykimmusic.com,other_third_party
wlbt.com,news
mikerogersforcongress.com,campaign_personal
local10.com,news
tribtoday.com,news
fortune.com,news
uticaod.com,news
nationalreview.com,news
azpm.org,news
smithgill.com,other_third_party
people.com,news
times-news.com,news
lbpost.com,news
ktvu.com,news
fredericawilsonforcongress.com,campaign_personal
wkyt.com,news
indexjournal.com,news
foreignpolicy.com,news
francisrooney.com,campaign_personal
sacbee.com,news
thetelegraph.com,news
scnow.com,news
ase.org,other_third_party
themonitor.com,news
heraldtribune.com,news
messenger-inquirer.com,news
kennedyforma.com,campaign_personal
joemeansjobs.com,campaign_personal
ktbs.com,news
wgowam.com,news
pamplinmedia.com,news
theoakleafnews.com,news
nbclosangeles.com,news
postregister.com,news
delcotimes.com,news
womackforcongress.com,campaign_personal
kwwl.com,news
wmdt.com,news
wdet.org,news
salisburypost.com,news
govtech.com,news
wskg.org,news
medium.com,news
kwqc.com,news
wfaa.com,news
fox4news.com,news
krqe.com,news
scottforga.com,campaign_personal
dailybulletin.com,news
stlpublicradio.org,news
tcpalm.com,news
congressmangregorymeeks.com,campaign_personal
bnd.com,news
jodyhice.com,campaign_personal
tulsigabbard.com,campaign_personal
nbc25news.com,news
pressherald.com,news
argus-press.com,news
kgw.com,news
maxroseforcongress.com,campaign_personal
wglt.org,news
abc3340.com,news
nbc15.com,news
votetomrice.com,campaign_personal
nhl.com,news
dnronline.com,news
nbcdfw.com,news
wenatcheeworld.com,news
oleantimesherald.com,news
sabr.org,other_third_party
wfsb.com,news
kget.com,news
citizensvoice.com,news
indianz.com,news
vernbuchanan.com,campaign_personal
paultonko.com,campaign_personal
thenation.com,news
wbko.com,news
rossspano.com,campaign_personal
ncpolicywatch.com,news
washingtontimes.com,news
sjvsun.com,news
journal-news.com,news
tucson.com,news
burgessforcongress.org,campaign_personal
lacyclay.org,campaign_personal
wcjb.com,news
riverreporter.com,news
kgou.org,news
citizensforethics.org,other_third_party
dailyprogress.com,news
scottdesjarlais.com,campaign_personal
cooperforassembly.com,campaign_personal
montereycountyweekly.com,news
wbfo.org,news
cleaverforcongress.com,campaign_personal
massispost.com,news
mdjonline.com,news
wate.com,news
kusi.com,news
floridatoday.com,news
fox13now.com,news
kesq.com,news
spotify.com,other_third_party
bridgemi.com,news
tylerpaper.com,news
newstribune.com,news
nationbuilder.com,other_third_party
santamariasun.com,news
riverfronttimes.com,news
wmicentral.com,news
aldianews.com,news
cedricrichmond.com,campaign_personal
wpsdlocal6.com,news
thebrunswicknews.com,news
covnews.com,news
washingtonblade.com,news
captainhiggins.com,campaign_personal
justsecurity.org,news
kslnewsradio.com,news
nfl.com,news
pasoroblesdailynews.com,news
ydr.com,news
texarkanagazette.com,news
kmbc.com,news
bradenton.com,news
safetyandhealthmagazine.com,news
pahomepage.com,news
bloombergtax.com,other_third_party
abc7.com,news
somerset-kentucky.com,news
armenianweekly.com,news
marinecorpstimes.com,news
3newsnow.com,news
spacecoastdaily.com,news
kxan.com,news
thestarpress.com,news
northglenn-thorntonsentinel.com,news
thecourier.com,news
urbanmilwaukee.com,education
as.com,news
theatlantavoice.com,news
foxla.com,news
wistv.com,news
hpherald.com,news
montgomerynews.com,news
fox6now.com,news
wvgazettemail.com,news
progressiverailroading.com,news
utilitydive.com,news
lmtonline.com,news
wgem.com,news
fox5atlanta.com,news
albanyherald.com,news
silive.com,news
cleveland19.com,news
wwnytv.com,news
rafu.com,news
wpri.com,news
loudountimes.com,news
wsmv.com,news
kob.com,news
nwitimes.com,news
courierpress.com,news
cbs19news.com,news
corvallisadvocate.com,news
indianapublicmedia.org,news
wtap.com,news
timesofsandiego.com,news
lowellsun.com,news
kcbd.com,news
cwuobserver.com,news
history.com,news
communityimpact.com,news
pressofatlanticcity.com,news
radioiowa.com,news
qchron.com,news
defensenews.com,news
paysonroundup.com,news
fox10tv.com,news
king5.com,news
wtop.com,news
myfoxzone.com,news
sent-trib.com,news
tennessean.com,news
5newsonline.com,news
billflores.com,campaign_personal
petersonforcongress.com,campaign_personal
kiiitv.com,news
engelforcongress.com,campaign_personal
duluthnewstribune.com,news
johnshimkus.com,campaign_personal
beaconjournal.com,news
portcitydaily.com,news
thecapistranodispatch.com,news
kitv.com,news
statesmanjournal.com,news
burlingtoncountytimes.com,news
kctv5.com,news
dailyfreeman.com,news
princewilliamtimes.com,news
wtnh.com,news
newsandtribune.com,news
heraldnet.com,news
wric.com,news
fox32chicago.com,news
njspotlight.com,news
militarytimes.com,news
wlwt.com,news
wdtn.com,news
tuftsdaily.com,news
dailygazette.com,news
recordonline.com,news
kttc.com,news
ourmidland.com,news
pe.com,news
bellinghamherald.com,news
pelosiforcongress.org,campaign_personal
bbc.com,news
wdbj7.com,news
centertech.com,other_third_party
wpr.org,news
vcreporter.com,news
wrcbtv.com,news
live5news.com,news
thedailystar.com,news
americanbanker.com,other_third_party
mainebeacon.com,news
keyc.com,news
chicoer.com,news
newsandsentinel.com,news
newsminer.com,news
kyma.com,news
wcax.com,news
goerie.com,news
fox26medford.com,news
cw34.com,news
wishtv.com,news
heraldnews.com,news
keyt.com,news
newsdakota.com,news
idahopress.com,news
tsl.news,news
wktv.com,news
sportingnews.com,news
abc15.com,news
wsjm.com,news
wcpo.com,news
ktvn.com,news
hawaiinewsnow.com,news
rug.nl,education
app.com,news
wttw.com,news
wsbtv.com,news
wbap.com,news
mccarthyforcongress.com,campaign_personal
wpde.com,news
newschannel9.com,news
nevadaappeal.com,news
mainepublic.org,news
siouxcityjournal.com,news
acainternational.org,other_third_party
archives.gov,gov
clevelandjewishnews.com,news
columbiamissourian.com,news
msn.com,news
hillsdale.net,news
queenseagle.com,news
sacurrent.com,news
nbcchicago.com,news
mysuncoast.com,news
lamag.com,news
sfgate.com,news
voiceofsandiego.org,news
thenewsstar.com,news
tedyoho.com,campaign_personal
wamu.org,news
ucsdguardian.org,news
yourcentralvalley.com,news
feedstuffs.com,news
tribtown.com,news
eugeneweekly.com,news
dailymail.co.uk,news
wisn.com,news
abc12.com,news
thebrownandwhite.com,news
coloradosun.com,news
commercialappeal.com,news
12news.com,news
politifact.com,news
loudermilkforcongress.com,campaign_personal
slate.com,news
fox5ny.com,news
gastongazette.com,news
wbtw.com,news
winknews.com,news
fairfieldsuntimes.com,news
news12.com,news
redlandscommunitynews.com,news
chron.com,news
the-journal.com,news
hourdetroit.com,news
wcnc.com,news
thespacereview.com,news
wrdw.com,news
timesleader.com,news
shoshonenewspress.com,news
lehighvalleylive.com,news
rgj.com,news
missoulacurrent.com,news
naturalproductsinsider.com,news
trains.com,news
thereporteronline.com,news
greeleytribune.com,news
thetimesweekly.com,news
amodeifornevada.com,campaign_personal
nbcnewyork.com,news
okcfox.com,news
mattgaetz.com,campaign_personal
wfyi.org,news
brownsvilleherald.com,news
wkbn.com,news
drgnews.com,news
indeonline.com,news
nbc29.com,news
wokv.com,news
nhpr.org,news
centralillinoisproud.com,news
lattaforcongress.com,campaign_personal
8newsnow.com,news
statenews.com,news
binghamtonhomepage.com,news
gazettenet.com,news
linns.com,news
highlandcountypress.com,news
tahlequahdailypress.com,news
fox9.com,news
hudsoncountyview.com,news
drpaulgosar.com,campaign_personal
muskogeephoenix.com,news
kelleyarmstrong.com,other_third_party
iowa.gov,gov
clickorlando.com,news
democratandchronicle.com,news
rochesterfirst.com,news
pro-football-reference.com,other_third_party
kxly.com,news
walb.com,news
medina-gazette.com,news
vadogwood.com,news
wcbcradio.com,news
texasmonthly.com,news
fox61.com,news
joyceforcongress.com,campaign_personal
cutimes.com,news
medpagetoday.com,news
turnto10.com,news
wibc.com,news
isthmus.com,news
nwherald.com,news
ktvl.com,news
jweekly.com,news
inlander.com,news
military.com,news
ebjcampaign.com,campaign_personal
dailystandard.com,news
salon.com,news
kiwaradio.com,news
buckslocalnews.com,news
kbjr6.com,news
9and10news.com,news
gohmert.com,campaign_personal
madison.com,news
gvwire.com,news
vcstar.com,news
wfae.org,news
selmatimesjournal.com,news
newjerseyhills.com,news
fox2detroit.com,news
kltv.com,news
thelist.com,news
seafoodsource.com,news
klcc.org,news
iowapublicradio.org,news
times-herald.com,news
mymcmedia.org,news
ocgnews.com,news
wkyc.com,news
sentinelcolorado.com,news
urgentcomm.com,news
kpq.com,news
fox13news.com,news
whdh.com,news
wgrz.com,news
mytwintiers.com,news
cyberscoop.com,news
cbs17.com,news
reflector.com,news
firstcoastnews.com,news
